#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
1700016K19Rik	Ate1	10090.ENSMUSP00000063358	10090.ENSMUSP00000033139	0	0	0	0	0	0.051	0	0.487	0.492
2610002M06Rik	Dcbld1	10090.ENSMUSP00000113588	10090.ENSMUSP00000068203	0	0	0	0	0	0	0	0.538	0.538
2610002M06Rik	Stambp	10090.ENSMUSP00000113588	10090.ENSMUSP00000070876	0	0	0	0	0.115	0.355	0	0.126	0.457
2610002M06Rik	Ubap1	10090.ENSMUSP00000113588	10090.ENSMUSP00000072643	0	0	0	0	0.076	0	0.720	0.116	0.751
2610002M06Rik	Vps28	10090.ENSMUSP00000113588	10090.ENSMUSP00000077856	0	0	0	0	0.091	0	0.720	0.360	0.822
2610002M06Rik	Vps4b	10090.ENSMUSP00000113588	10090.ENSMUSP00000092230	0	0	0	0	0.088	0.556	0.900	0.248	0.965
2610002M06Rik	Vps37a	10090.ENSMUSP00000113588	10090.ENSMUSP00000096415	0	0	0	0	0.080	0	0.720	0.216	0.780
2610002M06Rik	Stam	10090.ENSMUSP00000113588	10090.ENSMUSP00000100025	0	0	0	0	0.074	0	0.720	0.132	0.755
2610002M06Rik	Vps25	10090.ENSMUSP00000113588	10090.ENSMUSP00000102901	0	0	0	0	0.048	0	0.720	0.360	0.814
2610002M06Rik	Usp8	10090.ENSMUSP00000113588	10090.ENSMUSP00000106046	0	0	0	0	0.072	0.358	0	0.230	0.502
2610002M06Rik	Chmp3	10090.ENSMUSP00000113588	10090.ENSMUSP00000109815	0	0.132	0	0	0.139	0.558	0.720	0.360	0.930
2610002M06Rik	Ubap1l	10090.ENSMUSP00000113588	10090.ENSMUSP00000128815	0	0	0	0	0	0	0.540	0	0.540
2610002M06Rik	Vps37c	10090.ENSMUSP00000113588	10090.ENSMUSP00000158500	0	0	0	0	0.069	0	0.720	0.178	0.767
2610002M06Rik	Chmp1b	10090.ENSMUSP00000113588	10090.ENSMUSP00000147285	0	0	0.048	0.985	0.061	0	0.900	0	0.902
AF366264	Mdm2	10090.ENSMUSP00000096518	10090.ENSMUSP00000020408	0	0	0	0	0.080	0.292	0	0.172	0.413
Abhd17b	Prepl	10090.ENSMUSP00000056099	10090.ENSMUSP00000130967	0	0	0	0	0	0	0	0.424	0.424
Abhd5	Cideb	10090.ENSMUSP00000122274	10090.ENSMUSP00000001497	0	0	0	0	0	0	0	0.440	0.440
Abhd5	Aup1	10090.ENSMUSP00000122274	10090.ENSMUSP00000090281	0	0	0	0	0.067	0.052	0	0.421	0.444
Abhd5	Faf2	10090.ENSMUSP00000122274	10090.ENSMUSP00000121182	0	0	0	0	0.108	0	0	0.491	0.526
Abraxas1	Babam1	10090.ENSMUSP00000055895	10090.ENSMUSP00000002473	0	0	0	0	0	0.981	0.900	0.994	0.999
Abraxas1	Brca1	10090.ENSMUSP00000055895	10090.ENSMUSP00000017290	0	0	0	0	0.061	0.942	0.900	0.993	0.999
Abraxas1	Ubb	10090.ENSMUSP00000055895	10090.ENSMUSP00000019649	0	0	0	0	0	0.098	0.500	0	0.529
Abraxas1	Bap1	10090.ENSMUSP00000055895	10090.ENSMUSP00000022458	0	0	0	0	0	0	0.500	0.139	0.551
Abraxas1	Rnf8	10090.ENSMUSP00000055895	10090.ENSMUSP00000024817	0	0	0	0	0	0	0.500	0.661	0.823
Abraxas1	Uimc1	10090.ENSMUSP00000055895	10090.ENSMUSP00000026997	0	0	0	0	0	0.981	0.800	0.997	0.999
Abraxas1	Cops5	10090.ENSMUSP00000055895	10090.ENSMUSP00000027050	0	0	0	0	0	0.398	0	0.130	0.453
Abraxas1	Bard1	10090.ENSMUSP00000055895	10090.ENSMUSP00000027393	0	0	0	0	0.043	0.942	0.720	0.981	0.999
Abraxas1	Psmd14	10090.ENSMUSP00000055895	10090.ENSMUSP00000028278	0	0	0	0	0.041	0.415	0	0.171	0.494
Abraxas1	Brcc3	10090.ENSMUSP00000055895	10090.ENSMUSP00000033544	0	0	0	0	0	0.975	0.800	0.996	0.999
Abraxas1	Stambp	10090.ENSMUSP00000055895	10090.ENSMUSP00000070876	0	0	0	0	0	0.398	0	0.064	0.412
Abraxas1	Mpnd	10090.ENSMUSP00000055895	10090.ENSMUSP00000119745	0	0	0	0	0	0.415	0	0	0.414
Abraxas1	Mysm1	10090.ENSMUSP00000055895	10090.ENSMUSP00000075269	0	0	0	0	0.047	0.415	0	0.094	0.450
Abraxas1	Abraxas2	10090.ENSMUSP00000055895	10090.ENSMUSP00000081541	0	0	0	0.818	0	0	0	0.453	0.453
Abraxas1	Gm11808	10090.ENSMUSP00000055895	10090.ENSMUSP00000086852	0	0	0	0	0	0	0.500	0	0.499
Abraxas1	Rps27a	10090.ENSMUSP00000055895	10090.ENSMUSP00000099909	0	0	0	0	0	0.066	0.500	0	0.513
Abraxas1	H2bc1	10090.ENSMUSP00000055895	10090.ENSMUSP00000056604	0	0	0	0	0	0	0.500	0.106	0.533
Abraxas1	Herc2	10090.ENSMUSP00000055895	10090.ENSMUSP00000131573	0	0	0	0	0	0	0.500	0.142	0.552
Abraxas1	Ubc	10090.ENSMUSP00000055895	10090.ENSMUSP00000114180	0	0	0	0	0	0.096	0.500	0.090	0.552
Abraxas1	Kat5	10090.ENSMUSP00000055895	10090.ENSMUSP00000109271	0	0	0	0	0	0	0.500	0.171	0.567
Abraxas1	Ube2n	10090.ENSMUSP00000055895	10090.ENSMUSP00000096932	0	0	0	0	0	0	0.500	0.497	0.737
Abraxas1	Rnf168	10090.ENSMUSP00000055895	10090.ENSMUSP00000126484	0	0	0	0	0.042	0	0.500	0.784	0.887
Abraxas1	Gm5136	10090.ENSMUSP00000055895	10090.ENSMUSP00000151516	0	0	0	0	0	0.767	0.720	0.394	0.957
Abraxas1	Babam2	10090.ENSMUSP00000055895	10090.ENSMUSP00000069133	0	0	0	0	0.057	0.981	0.800	0.934	0.999
Abraxas2	Babam1	10090.ENSMUSP00000081541	10090.ENSMUSP00000002473	0	0	0	0	0.044	0.879	0.800	0.990	0.999
Abraxas2	Arih2	10090.ENSMUSP00000081541	10090.ENSMUSP00000013338	0	0	0	0	0.053	0.055	0	0.398	0.414
Abraxas2	Brca1	10090.ENSMUSP00000081541	10090.ENSMUSP00000017290	0	0	0	0	0	0.070	0	0.667	0.677
Abraxas2	Cops6	10090.ENSMUSP00000081541	10090.ENSMUSP00000019638	0	0	0	0	0.041	0.228	0	0.271	0.413
Abraxas2	Shmt2	10090.ENSMUSP00000081541	10090.ENSMUSP00000026470	0	0	0	0	0	0.833	0.720	0.633	0.981
Abraxas2	Uimc1	10090.ENSMUSP00000081541	10090.ENSMUSP00000026997	0	0	0	0	0.079	0.098	0	0.652	0.686
Abraxas2	Cops5	10090.ENSMUSP00000081541	10090.ENSMUSP00000027050	0	0	0	0	0.054	0.092	0	0.376	0.417
Abraxas2	Psmd14	10090.ENSMUSP00000081541	10090.ENSMUSP00000028278	0	0	0	0	0.044	0.231	0	0.340	0.473
Abraxas2	Usp50	10090.ENSMUSP00000081541	10090.ENSMUSP00000028842	0	0	0	0	0	0	0	0.606	0.606
Abraxas2	Brcc3	10090.ENSMUSP00000081541	10090.ENSMUSP00000033544	0	0	0	0	0	0.874	0.800	0.990	0.999
Abraxas2	Wdr48	10090.ENSMUSP00000081541	10090.ENSMUSP00000042509	0	0	0	0	0.053	0	0	0.477	0.483
Abraxas2	Stambpl1	10090.ENSMUSP00000081541	10090.ENSMUSP00000059927	0	0	0	0	0	0.067	0	0.458	0.472
Abraxas2	Babam2	10090.ENSMUSP00000081541	10090.ENSMUSP00000069133	0	0	0	0	0	0.904	0.800	0.912	0.998
Abraxas2	Stambp	10090.ENSMUSP00000081541	10090.ENSMUSP00000070876	0	0	0	0	0	0.067	0	0.387	0.403
Abraxas2	Usp47	10090.ENSMUSP00000081541	10090.ENSMUSP00000147619	0	0	0	0	0.134	0	0	0.481	0.531
Abraxas2	Usp7	10090.ENSMUSP00000081541	10090.ENSMUSP00000124093	0	0	0	0	0.046	0.322	0	0.467	0.625
Abraxas2	Gm5136	10090.ENSMUSP00000081541	10090.ENSMUSP00000151516	0	0	0	0	0	0.766	0.720	0.599	0.971
Ace	Tmprss2	10090.ENSMUSP00000001963	10090.ENSMUSP00000000395	0	0	0	0	0.066	0	0	0.759	0.765
Ace	Npepps	10090.ENSMUSP00000001963	10090.ENSMUSP00000001480	0	0	0	0	0.053	0	0	0.561	0.567
Ace	Akt1	10090.ENSMUSP00000001963	10090.ENSMUSP00000001780	0	0	0	0	0	0	0	0.644	0.644
Ace	Gm10053	10090.ENSMUSP00000001963	10090.ENSMUSP00000072829	0	0	0	0	0	0	0	0.406	0.406
Ace	Pcsk9	10090.ENSMUSP00000001963	10090.ENSMUSP00000055757	0	0	0	0	0	0	0	0.408	0.408
Ace	Klk1	10090.ENSMUSP00000001963	10090.ENSMUSP00000074659	0	0	0	0	0	0	0	0.408	0.408
Ace	Tpp1	10090.ENSMUSP00000001963	10090.ENSMUSP00000033184	0	0	0	0	0	0	0	0.410	0.410
Ace	Klk1b1	10090.ENSMUSP00000001963	10090.ENSMUSP00000077879	0	0	0	0	0	0	0	0.412	0.412
Ace	Nln	10090.ENSMUSP00000001963	10090.ENSMUSP00000104938	0	0	0	0	0	0	0	0.436	0.436
Ace	Adam10	10090.ENSMUSP00000001963	10090.ENSMUSP00000063839	0	0	0	0	0.049	0	0	0.432	0.437
Ace	Dpep2-2	10090.ENSMUSP00000001963	10090.ENSMUSP00000154250	0	0	0	0	0	0	0	0.440	0.440
Ace	Myh9	10090.ENSMUSP00000001963	10090.ENSMUSP00000016771	0	0	0	0	0	0.292	0	0.246	0.444
Ace	Ctsb	10090.ENSMUSP00000001963	10090.ENSMUSP00000006235	0	0	0	0	0	0	0	0.449	0.449
Ace	Tll1	10090.ENSMUSP00000001963	10090.ENSMUSP00000070560	0	0	0	0	0.052	0	0	0.445	0.451
Ace	Nfe2l2	10090.ENSMUSP00000001963	10090.ENSMUSP00000099733	0	0	0	0	0	0	0	0.454	0.454
Ace	Tll2	10090.ENSMUSP00000001963	10090.ENSMUSP00000025986	0	0	0	0	0.052	0	0	0.451	0.457
Ace	Dpep1	10090.ENSMUSP00000001963	10090.ENSMUSP00000019422	0	0	0	0	0.217	0	0	0.335	0.457
Ace	Ctsg	10090.ENSMUSP00000001963	10090.ENSMUSP00000015583	0	0	0	0	0	0	0	0.460	0.460
Ace	F12	10090.ENSMUSP00000001963	10090.ENSMUSP00000021948	0	0	0	0	0	0	0	0.465	0.465
Ace	Ctss	10090.ENSMUSP00000001963	10090.ENSMUSP00000015667	0	0	0	0	0.057	0	0	0.460	0.469
Ace	Mmp2	10090.ENSMUSP00000001963	10090.ENSMUSP00000034187	0	0	0	0	0.057	0	0	0.464	0.473
Ace	Klkb1	10090.ENSMUSP00000001963	10090.ENSMUSP00000026907	0	0	0	0	0	0	0	0.474	0.474
Ace	Cpm	10090.ENSMUSP00000001963	10090.ENSMUSP00000020399	0	0	0	0	0.091	0	0	0.446	0.475
Ace	Ctrl	10090.ENSMUSP00000001963	10090.ENSMUSP00000034368	0	0	0	0	0	0	0	0.478	0.478
Ace	Casp3	10090.ENSMUSP00000001963	10090.ENSMUSP00000147767	0	0	0	0	0	0	0	0.478	0.478
Ace	Ctsl	10090.ENSMUSP00000001963	10090.ENSMUSP00000152169	0	0	0	0	0	0	0	0.484	0.484
Ace	Ctsd	10090.ENSMUSP00000001963	10090.ENSMUSP00000121203	0	0	0	0	0	0	0	0.491	0.491
Ace	F3	10090.ENSMUSP00000001963	10090.ENSMUSP00000029771	0	0	0	0	0	0	0	0.502	0.502
Ace	Prcp	10090.ENSMUSP00000001963	10090.ENSMUSP00000075429	0	0	0	0	0	0	0	0.517	0.517
Ace	Sirt1	10090.ENSMUSP00000001963	10090.ENSMUSP00000112595	0	0	0	0	0	0	0	0.519	0.519
Ace	Plat	10090.ENSMUSP00000001963	10090.ENSMUSP00000033941	0	0	0	0	0.046	0	0	0.517	0.520
Ace	Ctrb1	10090.ENSMUSP00000001963	10090.ENSMUSP00000034435	0	0	0	0	0	0	0	0.529	0.529
Ace	Ide	10090.ENSMUSP00000001963	10090.ENSMUSP00000121358	0	0	0	0	0	0	0	0.541	0.541
Ace	Plg	10090.ENSMUSP00000001963	10090.ENSMUSP00000014578	0	0	0	0	0	0	0	0.551	0.551
Ace	Lnpep	10090.ENSMUSP00000001963	10090.ENSMUSP00000036998	0	0	0	0	0.053	0	0	0.557	0.563
Ace	Thop1	10090.ENSMUSP00000001963	10090.ENSMUSP00000005057	0	0	0	0	0	0	0	0.563	0.563
Ace	Lvrn	10090.ENSMUSP00000001963	10090.ENSMUSP00000025358	0	0	0	0	0.093	0	0	0.550	0.574
Ace	F2	10090.ENSMUSP00000001963	10090.ENSMUSP00000028681	0	0	0	0	0	0	0	0.621	0.621
Ace	Prep	10090.ENSMUSP00000001963	10090.ENSMUSP00000097444	0	0	0	0	0	0	0	0.640	0.640
Ace	Enpep	10090.ENSMUSP00000001963	10090.ENSMUSP00000029658	0	0	0	0	0.095	0	0	0.640	0.661
Ace	Ece1	10090.ENSMUSP00000001963	10090.ENSMUSP00000099576	0	0	0	0	0.043	0	0	0.670	0.671
Ace	Ace2	10090.ENSMUSP00000001963	10090.ENSMUSP00000107890	0	0	0.107	0.863	0.091	0	0	0.633	0.676
Ace	Ece2	10090.ENSMUSP00000001963	10090.ENSMUSP00000003898	0	0	0	0	0	0	0	0.681	0.681
Ace	Atp6ap2	10090.ENSMUSP00000001963	10090.ENSMUSP00000033313	0	0	0	0	0	0	0	0.702	0.702
Ace	Anpep	10090.ENSMUSP00000001963	10090.ENSMUSP00000103015	0	0	0	0	0.132	0	0	0.686	0.716
Ace	Adam17	10090.ENSMUSP00000001963	10090.ENSMUSP00000099087	0	0	0	0	0.083	0	0	0.710	0.723
Ace	Cma1	10090.ENSMUSP00000001963	10090.ENSMUSP00000022834	0	0	0	0	0	0	0	0.736	0.736
Ace	Mcpt4	10090.ENSMUSP00000001963	10090.ENSMUSP00000038103	0	0	0	0	0.061	0	0	0.737	0.742
Ace	Dpp4	10090.ENSMUSP00000001963	10090.ENSMUSP00000044050	0	0	0	0	0.053	0	0	0.743	0.746
Ace	Mmp9	10090.ENSMUSP00000001963	10090.ENSMUSP00000017881	0	0	0	0	0.061	0	0	0.745	0.750
Ace	Tgfb1	10090.ENSMUSP00000001963	10090.ENSMUSP00000002678	0	0	0	0	0.047	0	0	0.786	0.787
Ace	Mmel1	10090.ENSMUSP00000001963	10090.ENSMUSP00000131753	0	0	0	0	0	0	0	0.789	0.789
Ace	Furin	10090.ENSMUSP00000001963	10090.ENSMUSP00000113793	0	0	0	0	0.042	0	0	0.801	0.801
Ace	Klk1b8	10090.ENSMUSP00000001963	10090.ENSMUSP00000072063	0	0	0	0	0.042	0	0	0.803	0.803
Ace	Klk1b5	10090.ENSMUSP00000001963	10090.ENSMUSP00000073964	0	0	0	0	0	0	0	0.803	0.803
Ace	Klk1b9	10090.ENSMUSP00000001963	10090.ENSMUSP00000080133	0	0	0	0	0	0	0	0.804	0.804
Ace	Mme	10090.ENSMUSP00000001963	10090.ENSMUSP00000142205	0	0	0	0	0.065	0	0	0.883	0.886
Ace	Ace3	10090.ENSMUSP00000001963	10090.ENSMUSP00000140827	0	0	0.067	0.947	0	0	0.900	0.060	0.904
Ace	Ren1	10090.ENSMUSP00000001963	10090.ENSMUSP00000092135	0	0	0	0	0	0	0	0.941	0.941
Ace2	Tmprss2	10090.ENSMUSP00000107890	10090.ENSMUSP00000000395	0	0	0	0	0.070	0.093	0	0.997	0.997
Ace2	Npepps	10090.ENSMUSP00000107890	10090.ENSMUSP00000001480	0	0	0	0	0.053	0	0	0.483	0.489
Ace2	Akt1	10090.ENSMUSP00000107890	10090.ENSMUSP00000001780	0	0	0	0	0	0	0	0.503	0.503
Ace2	Tgfb1	10090.ENSMUSP00000107890	10090.ENSMUSP00000002678	0	0	0	0	0	0	0	0.502	0.502
Ace2	Thop1	10090.ENSMUSP00000107890	10090.ENSMUSP00000005057	0	0	0	0	0	0	0	0.553	0.553
Ace2	Ctsb	10090.ENSMUSP00000107890	10090.ENSMUSP00000006235	0	0	0	0	0	0	0	0.632	0.632
Ace2	Plg	10090.ENSMUSP00000107890	10090.ENSMUSP00000014578	0	0	0	0	0.047	0	0	0.399	0.403
Ace2	Ctss	10090.ENSMUSP00000107890	10090.ENSMUSP00000015667	0	0	0	0	0	0	0	0.746	0.746
Ace2	Myh9	10090.ENSMUSP00000107890	10090.ENSMUSP00000016771	0	0	0	0	0	0	0	0.409	0.408
Ace2	Mmp9	10090.ENSMUSP00000107890	10090.ENSMUSP00000017881	0	0	0	0	0	0	0	0.441	0.441
Ace2	Psmb6	10090.ENSMUSP00000107890	10090.ENSMUSP00000018430	0	0	0	0	0	0	0	0.405	0.405
Ace2	Cma1	10090.ENSMUSP00000107890	10090.ENSMUSP00000022834	0	0	0	0	0.066	0.050	0	0.600	0.614
Ace2	Mep1a	10090.ENSMUSP00000107890	10090.ENSMUSP00000024707	0	0	0	0	0.174	0	0.900	0.255	0.933
Ace2	Lvrn	10090.ENSMUSP00000107890	10090.ENSMUSP00000025358	0	0	0	0	0.090	0	0	0.523	0.547
Ace2	Mbl2	10090.ENSMUSP00000107890	10090.ENSMUSP00000025797	0	0	0	0	0.044	0.066	0	0.392	0.409
Ace2	Casp1	10090.ENSMUSP00000107890	10090.ENSMUSP00000027015	0	0	0	0	0.041	0	0	0.426	0.426
Ace2	Hspa5	10090.ENSMUSP00000107890	10090.ENSMUSP00000028222	0	0	0	0	0	0.244	0	0.757	0.808
Ace2	F2	10090.ENSMUSP00000107890	10090.ENSMUSP00000028681	0	0	0	0	0	0	0	0.622	0.622
Ace2	Enpep	10090.ENSMUSP00000107890	10090.ENSMUSP00000029658	0	0	0	0	0.272	0	0	0.741	0.803
Ace2	F3	10090.ENSMUSP00000107890	10090.ENSMUSP00000029771	0	0	0	0	0	0	0	0.582	0.582
Ace2	Tmprss11d	10090.ENSMUSP00000107890	10090.ENSMUSP00000031175	0	0	0	0	0.041	0	0	0.656	0.656
Ace2	Atp6ap2	10090.ENSMUSP00000107890	10090.ENSMUSP00000033313	0	0	0	0	0	0	0	0.577	0.577
Ace2	Plat	10090.ENSMUSP00000107890	10090.ENSMUSP00000033941	0	0	0	0	0	0	0	0.460	0.460
Ace2	Ctrl	10090.ENSMUSP00000107890	10090.ENSMUSP00000034368	0	0	0	0	0.047	0	0	0.626	0.628
Ace2	Tmprss4	10090.ENSMUSP00000107890	10090.ENSMUSP00000034599	0	0	0	0	0.160	0	0	0.686	0.725
Ace2	Ltf	10090.ENSMUSP00000107890	10090.ENSMUSP00000035077	0	0	0	0	0.053	0	0	0.414	0.421
Ace2	Lnpep	10090.ENSMUSP00000107890	10090.ENSMUSP00000036998	0	0	0	0	0.053	0	0	0.507	0.513
Ace2	Mcpt4	10090.ENSMUSP00000107890	10090.ENSMUSP00000038103	0	0	0	0	0.061	0.050	0	0.652	0.663
Ace2	Dpp4	10090.ENSMUSP00000107890	10090.ENSMUSP00000044050	0	0	0	0	0.066	0	0.900	0.980	0.998
Ace2	Adam10	10090.ENSMUSP00000107890	10090.ENSMUSP00000063839	0	0	0	0	0.049	0	0	0.432	0.437
Ace2	Prss2	10090.ENSMUSP00000107890	10090.ENSMUSP00000065393	0	0	0	0	0	0	0	0.497	0.497
Ace2	Klk1b8	10090.ENSMUSP00000107890	10090.ENSMUSP00000072063	0	0	0	0	0	0	0	0.617	0.617
Ace2	Klk1b5	10090.ENSMUSP00000107890	10090.ENSMUSP00000073964	0	0	0	0	0	0	0	0.617	0.617
Ace2	Prcp	10090.ENSMUSP00000107890	10090.ENSMUSP00000075429	0	0	0	0	0	0	0.900	0.576	0.955
Ace2	Klk1b9	10090.ENSMUSP00000107890	10090.ENSMUSP00000080133	0	0	0	0	0	0	0	0.617	0.617
Ace2	Mep1b	10090.ENSMUSP00000107890	10090.ENSMUSP00000080866	0	0	0	0	0.134	0	0.900	0.236	0.928
Ace2	Ren1	10090.ENSMUSP00000107890	10090.ENSMUSP00000092135	0	0	0	0	0	0	0	0.906	0.906
Ace2	Prep	10090.ENSMUSP00000107890	10090.ENSMUSP00000097444	0	0	0	0	0	0	0	0.631	0.631
Ace2	Tmprss11a	10090.ENSMUSP00000107890	10090.ENSMUSP00000098634	0	0	0	0	0.044	0.079	0	0.536	0.556
Ace2	Adam17	10090.ENSMUSP00000107890	10090.ENSMUSP00000099087	0	0	0	0	0.065	0	0	0.863	0.866
Ace2	Anpep	10090.ENSMUSP00000107890	10090.ENSMUSP00000103015	0	0	0	0	0.124	0	0	0.865	0.877
Ace2	Sirt1	10090.ENSMUSP00000107890	10090.ENSMUSP00000112595	0	0	0	0	0	0	0	0.441	0.441
