#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
0610010F05Rik	Ttll1	10090.ENSMUSP00000044265	10090.ENSMUSP00000016897	0	0	0	0	0.054	0.495	0	0	0.501
A2m	Crp	10090.ENSMUSP00000032203	10090.ENSMUSP00000044665	0	0	0	0	0.053	0.093	0	0.496	0.529
A2m	Gapdh	10090.ENSMUSP00000032203	10090.ENSMUSP00000113942	0	0	0	0	0.065	0	0	0.521	0.533
A2m	Cfh	10090.ENSMUSP00000032203	10090.ENSMUSP00000107607	0	0	0	0	0.077	0.218	0	0.457	0.574
A2m	B2m	10090.ENSMUSP00000032203	10090.ENSMUSP00000099534	0	0	0	0	0.047	0.065	0	0.605	0.617
A2m	Hpx	10090.ENSMUSP00000032203	10090.ENSMUSP00000033185	0	0	0	0	0.053	0.052	0	0.608	0.618
A2m	Hamp2	10090.ENSMUSP00000032203	10090.ENSMUSP00000151677	0	0	0	0	0.049	0	0	0.652	0.655
A2m	Hamp	10090.ENSMUSP00000032203	10090.ENSMUSP00000055404	0	0	0	0	0.049	0	0	0.653	0.656
A2m	Fga	10090.ENSMUSP00000032203	10090.ENSMUSP00000133117	0	0	0	0	0.076	0	0	0.650	0.663
A2m	Fgb	10090.ENSMUSP00000032203	10090.ENSMUSP00000039472	0	0	0	0	0.076	0	0	0.651	0.664
A2m	Fgg	10090.ENSMUSP00000032203	10090.ENSMUSP00000141648	0	0	0	0	0.066	0	0	0.657	0.666
A2m	Trf	10090.ENSMUSP00000032203	10090.ENSMUSP00000035158	0	0	0	0	0.063	0	0	0.686	0.693
A2m	Lrp1	10090.ENSMUSP00000032203	10090.ENSMUSP00000044004	0	0	0	0	0.052	0.099	0	0.979	0.980
AY761185	Cd4	10090.ENSMUSP00000106386	10090.ENSMUSP00000024044	0	0	0	0	0	0	0.500	0	0.499
AY761185	Cstdc2	10090.ENSMUSP00000106386	10090.ENSMUSP00000028937	0	0	0	0	0	0	0	0.575	0.575
AY761185	Defb22	10090.ENSMUSP00000106386	10090.ENSMUSP00000028966	0	0	0	0	0.104	0	0	0.360	0.402
AY761185	Defb1	10090.ENSMUSP00000106386	10090.ENSMUSP00000051754	0	0	0	0	0	0	0.400	0.360	0.599
AY761185	Defb19	10090.ENSMUSP00000106386	10090.ENSMUSP00000059585	0	0	0	0	0	0	0.400	0	0.400
AY761185	Defb36	10090.ENSMUSP00000106386	10090.ENSMUSP00000059665	0	0	0	0	0	0	0.400	0	0.400
AY761185	Defb21	10090.ENSMUSP00000106386	10090.ENSMUSP00000065102	0	0	0	0	0.115	0	0.400	0	0.446
AY761185	Defb42	10090.ENSMUSP00000106386	10090.ENSMUSP00000070629	0	0	0	0	0	0	0.400	0	0.400
AY761185	Defa39	10090.ENSMUSP00000106386	10090.ENSMUSP00000071783	0	0	0	0.935	0	0	0.400	0.077	0.422
AY761185	Defa26	10090.ENSMUSP00000106386	10090.ENSMUSP00000073950	0	0	0	0.878	0	0	0.400	0.079	0.423
AY761185	Defa34	10090.ENSMUSP00000106386	10090.ENSMUSP00000074745	0	0	0	0.885	0	0	0.400	0	0.400
AY761185	Defa21	10090.ENSMUSP00000106386	10090.ENSMUSP00000076041	0	0	0	0.872	0	0	0.400	0.067	0.416
AY761185	Defa38	10090.ENSMUSP00000106386	10090.ENSMUSP00000076665	0	0	0	0.933	0	0	0.400	0	0.400
AY761185	Defa35	10090.ENSMUSP00000106386	10090.ENSMUSP00000077259	0	0	0	0.877	0	0	0.400	0.066	0.415
AY761185	Defa17	10090.ENSMUSP00000106386	10090.ENSMUSP00000078485	0	0	0	0.903	0	0	0.400	0.057	0.410
AY761185	Defa24	10090.ENSMUSP00000106386	10090.ENSMUSP00000079376	0	0	0	0.905	0	0	0.400	0	0.400
AY761185	Defa37	10090.ENSMUSP00000106386	10090.ENSMUSP00000081053	0	0	0	0.874	0	0	0.400	0	0.400
AY761185	Defa32	10090.ENSMUSP00000106386	10090.ENSMUSP00000081054	0	0	0	0.897	0	0	0.400	0.070	0.418
AY761185	Defa25	10090.ENSMUSP00000106386	10090.ENSMUSP00000093075	0	0	0	0.890	0	0	0.400	0.078	0.423
AY761185	Defb18	10090.ENSMUSP00000106386	10090.ENSMUSP00000095427	0	0	0	0	0.102	0	0.400	0.137	0.494
AY761185	Defa28	10090.ENSMUSP00000106386	10090.ENSMUSP00000096486	0	0	0	0.890	0	0	0.400	0	0.400
AY761185	Defa29	10090.ENSMUSP00000106386	10090.ENSMUSP00000096489	0	0	0	0.935	0	0	0.400	0.072	0.419
AY761185	Defa40	10090.ENSMUSP00000106386	10090.ENSMUSP00000096494	0	0	0	0.870	0	0	0.400	0	0.400
AY761185	Defa31	10090.ENSMUSP00000106386	10090.ENSMUSP00000096495	0	0	0	0.901	0	0	0.400	0.066	0.415
AY761185	Defa30	10090.ENSMUSP00000106386	10090.ENSMUSP00000096497	0	0	0	0.904	0	0	0.400	0	0.400
AY761185	Defb25	10090.ENSMUSP00000106386	10090.ENSMUSP00000096809	0	0	0	0	0	0	0.400	0	0.400
AY761185	Defb43	10090.ENSMUSP00000106386	10090.ENSMUSP00000098060	0	0	0	0	0.105	0	0.400	0	0.440
AY761185	Defa43	10090.ENSMUSP00000106386	10090.ENSMUSP00000106377	0	0	0	0.934	0	0	0.400	0	0.400
AY761185	Defa41	10090.ENSMUSP00000106386	10090.ENSMUSP00000106382	0	0	0	0.863	0	0	0.400	0	0.400
AY761185	Defa27	10090.ENSMUSP00000106386	10090.ENSMUSP00000126797	0	0	0	0.883	0	0	0.400	0	0.400
AY761185	Defb28	10090.ENSMUSP00000106386	10090.ENSMUSP00000112697	0	0	0	0	0.116	0	0.400	0	0.446
AY761185	Defb30	10090.ENSMUSP00000106386	10090.ENSMUSP00000106838	0	0	0	0	0	0	0.400	0.299	0.561
Abl1	Ccl2	10090.ENSMUSP00000075167	10090.ENSMUSP00000000193	0	0	0	0	0.081	0	0	0.393	0.418
Abl1	Il4	10090.ENSMUSP00000075167	10090.ENSMUSP00000000889	0	0	0	0	0	0.094	0	0.486	0.514
Abl1	Hck	10090.ENSMUSP00000075167	10090.ENSMUSP00000003370	0	0	0.072	0.877	0.056	0.111	0	0.343	0.420
Abl1	App	10090.ENSMUSP00000075167	10090.ENSMUSP00000005406	0	0	0	0	0.086	0.082	0	0.343	0.400
Abl1	Igf1r	10090.ENSMUSP00000075167	10090.ENSMUSP00000005671	0	0	0	0.604	0.052	0	0	0.489	0.494
Abl1	Il3	10090.ENSMUSP00000075167	10090.ENSMUSP00000019058	0	0	0	0	0	0	0	0.459	0.459
Abl1	Frk	10090.ENSMUSP00000075167	10090.ENSMUSP00000019913	0	0	0.064	0.895	0.054	0.097	0	0.388	0.445
Abl1	Evl	10090.ENSMUSP00000075167	10090.ENSMUSP00000021689	0	0	0	0	0	0.376	0	0.227	0.497
Abl1	Myc	10090.ENSMUSP00000075167	10090.ENSMUSP00000022971	0	0	0	0	0.068	0.073	0	0.519	0.548
Abl1	Prkdc	10090.ENSMUSP00000075167	10090.ENSMUSP00000023352	0	0	0	0	0.061	0.099	0	0.622	0.652
Abl1	Tnf	10090.ENSMUSP00000075167	10090.ENSMUSP00000025263	0	0	0	0	0	0.071	0	0.431	0.448
Abl1	Hras	10090.ENSMUSP00000075167	10090.ENSMUSP00000026572	0	0	0	0	0.072	0.105	0	0.611	0.649
Abl1	Il6	10090.ENSMUSP00000075167	10090.ENSMUSP00000026845	0	0	0	0	0.077	0	0	0.396	0.419
Abl1	Notch1	10090.ENSMUSP00000075167	10090.ENSMUSP00000028288	0	0	0	0	0.053	0.098	0	0.487	0.524
Abl1	Mdk	10090.ENSMUSP00000075167	10090.ENSMUSP00000028672	0	0	0	0	0	0.044	0	0.479	0.480
Abl1	Nbn	10090.ENSMUSP00000075167	10090.ENSMUSP00000029879	0	0	0	0	0.043	0	0.500	0.171	0.568
Abl1	Fgr	10090.ENSMUSP00000075167	10090.ENSMUSP00000030693	0	0	0.074	0.882	0.064	0.097	0	0.437	0.500
Abl1	Tyrobp	10090.ENSMUSP00000075167	10090.ENSMUSP00000032800	0	0	0	0	0	0.098	0	0.364	0.401
Abl1	Was	10090.ENSMUSP00000075167	10090.ENSMUSP00000033505	0	0	0	0	0	0.099	0	0.515	0.544
Abl1	Smad3	10090.ENSMUSP00000075167	10090.ENSMUSP00000034973	0	0	0	0	0.089	0.095	0	0.355	0.422
Abl1	Ripk2	10090.ENSMUSP00000075167	10090.ENSMUSP00000038833	0	0	0	0.582	0.090	0.052	0	0.364	0.403
Abl1	Lyn	10090.ENSMUSP00000075167	10090.ENSMUSP00000038838	0	0	0.070	0.877	0.057	0.106	0	0.327	0.402
Abl1	Cdc42	10090.ENSMUSP00000075167	10090.ENSMUSP00000054634	0	0	0	0	0.072	0.105	0.500	0.467	0.749
Abl1	Pstpip1	10090.ENSMUSP00000075167	10090.ENSMUSP00000055823	0	0	0	0	0	0.292	0	0.486	0.620
Abl1	Lig4	10090.ENSMUSP00000075167	10090.ENSMUSP00000093130	0	0	0	0	0.055	0	0	0.396	0.405
Abl1	Cd19	10090.ENSMUSP00000075167	10090.ENSMUSP00000145803	0	0	0	0	0	0	0	0.411	0.411
Abl1	Bmx	10090.ENSMUSP00000075167	10090.ENSMUSP00000107884	0	0	0	0.774	0	0.086	0	0.407	0.434
Abl1	Gapdh	10090.ENSMUSP00000075167	10090.ENSMUSP00000113942	0	0	0	0	0	0	0	0.443	0.443
Abl1	Itk	10090.ENSMUSP00000075167	10090.ENSMUSP00000104860	0	0	0.078	0.799	0	0.086	0	0.396	0.446
Abl1	Prkcd	10090.ENSMUSP00000075167	10090.ENSMUSP00000107830	0	0	0	0.569	0.071	0.090	0	0.399	0.448
Abl1	Mtor	10090.ENSMUSP00000075167	10090.ENSMUSP00000099510	0	0	0	0	0.066	0.099	0	0.398	0.449
Abl1	Dhx9	10090.ENSMUSP00000075167	10090.ENSMUSP00000139825	0	0	0	0	0.111	0.061	0	0.433	0.486
Abl1	Mavs	10090.ENSMUSP00000075167	10090.ENSMUSP00000105828	0	0	0	0	0.080	0.132	0	0.410	0.488
Abl1	Tnfsf13b	10090.ENSMUSP00000075167	10090.ENSMUSP00000146694	0	0	0	0	0.086	0.068	0	0.452	0.492
Abl1	Syk	10090.ENSMUSP00000075167	10090.ENSMUSP00000113852	0	0	0	0.731	0	0.072	0	0.476	0.493
Abl1	Il7	10090.ENSMUSP00000075167	10090.ENSMUSP00000141845	0	0	0	0	0	0	0	0.515	0.515
Abl1	Ptk2	10090.ENSMUSP00000075167	10090.ENSMUSP00000105663	0	0	0	0.614	0.084	0.096	0	0.486	0.537
Abl1	Inpp5d	10090.ENSMUSP00000075167	10090.ENSMUSP00000127941	0	0	0	0.549	0	0.520	0	0.092	0.546
Abl1	Stat3	10090.ENSMUSP00000075167	10090.ENSMUSP00000120152	0	0	0	0	0.110	0.114	0	0.478	0.552
Abl1	Mef2c	10090.ENSMUSP00000075167	10090.ENSMUSP00000143401	0	0	0	0	0	0	0.500	0.170	0.567
Abl1	Kat5	10090.ENSMUSP00000075167	10090.ENSMUSP00000109271	0	0	0	0	0	0.292	0.500	0.293	0.728
Abl1	Snca	10090.ENSMUSP00000075167	10090.ENSMUSP00000109907	0	0	0	0	0.069	0.536	0	0.603	0.813
Abl1	Trp53	10090.ENSMUSP00000075167	10090.ENSMUSP00000104298	0	0	0	0	0	0.204	0	0.790	0.825
Abl1	Prdx1	10090.ENSMUSP00000075167	10090.ENSMUSP00000114159	0	0	0	0	0.069	0.076	0	0.855	0.865
Abl1	Ephb6	10090.ENSMUSP00000075167	10090.ENSMUSP00000110380	0	0	0	0.584	0.071	0	0.900	0.097	0.908
Abl1	Stat5b	10090.ENSMUSP00000075167	10090.ENSMUSP00000102981	0	0	0	0	0.054	0.097	0.900	0.247	0.927
Abl1	Stat5a	10090.ENSMUSP00000075167	10090.ENSMUSP00000102980	0	0	0	0	0.054	0.097	0.900	0.502	0.951
Abl1	Bcr	10090.ENSMUSP00000075167	10090.ENSMUSP00000126377	0	0	0	0	0.046	0.217	0.900	0.620	0.967
Abl1	Cbl	10090.ENSMUSP00000075167	10090.ENSMUSP00000146244	0	0	0	0	0.110	0.761	0.900	0.437	0.986
Abr	Cdc42	10090.ENSMUSP00000091551	10090.ENSMUSP00000054634	0	0	0	0	0.063	0.155	0.400	0.426	0.691
Ackr2	Ccl2	10090.ENSMUSP00000148966	10090.ENSMUSP00000000193	0	0	0	0	0	0	0	0.964	0.964
Ackr2	Ccl12	10090.ENSMUSP00000148966	10090.ENSMUSP00000000194	0	0	0	0	0	0.082	0.500	0.420	0.710
Ackr2	Ccl11	10090.ENSMUSP00000148966	10090.ENSMUSP00000000342	0	0	0	0	0.053	0.082	0	0.640	0.660
Ackr2	Il4	10090.ENSMUSP00000148966	10090.ENSMUSP00000000889	0	0	0	0	0	0	0	0.552	0.552
Ackr2	Ccl3	10090.ENSMUSP00000148966	10090.ENSMUSP00000001008	0	0	0	0	0	0	0.500	0.918	0.957
Ackr2	Tbx21	10090.ENSMUSP00000148966	10090.ENSMUSP00000001484	0	0	0	0	0.061	0	0	0.550	0.559
Ackr2	Tgfb1	10090.ENSMUSP00000148966	10090.ENSMUSP00000002678	0	0	0	0	0	0	0	0.565	0.565
Ackr2	Il7r	10090.ENSMUSP00000148966	10090.ENSMUSP00000003981	0	0	0	0	0.047	0	0	0.605	0.607
Ackr2	Ccl24	10090.ENSMUSP00000148966	10090.ENSMUSP00000004936	0	0	0	0	0.046	0	0	0.555	0.557
Ackr2	App	10090.ENSMUSP00000148966	10090.ENSMUSP00000005406	0	0	0	0	0	0.065	0	0.408	0.422
Ackr2	Kit	10090.ENSMUSP00000148966	10090.ENSMUSP00000005815	0	0	0	0	0.153	0	0	0.393	0.463
Ackr2	Ccl8	10090.ENSMUSP00000148966	10090.ENSMUSP00000009329	0	0	0	0	0.047	0	0	0.542	0.544
Ackr2	Gzmb	10090.ENSMUSP00000148966	10090.ENSMUSP00000015581	0	0	0	0	0.049	0.051	0	0.485	0.494
Ackr2	Cd274	10090.ENSMUSP00000148966	10090.ENSMUSP00000016640	0	0	0	0	0	0	0	0.458	0.457
Ackr2	Il10	10090.ENSMUSP00000148966	10090.ENSMUSP00000016673	0	0	0	0	0	0	0	0.609	0.609
Ackr2	Cd40	10090.ENSMUSP00000148966	10090.ENSMUSP00000017799	0	0	0	0	0.064	0.064	0	0.483	0.508
Ackr2	Csf2	10090.ENSMUSP00000148966	10090.ENSMUSP00000019060	0	0	0	0	0.042	0	0	0.451	0.451
Ackr2	Cxcl16	10090.ENSMUSP00000148966	10090.ENSMUSP00000019064	0	0	0	0	0.097	0	0	0.516	0.544
Ackr2	Ccl6	10090.ENSMUSP00000148966	10090.ENSMUSP00000019071	0	0	0	0	0.174	0.072	0	0.329	0.440
Ackr2	Ccl4	10090.ENSMUSP00000148966	10090.ENSMUSP00000019074	0	0	0	0	0	0	0.500	0.797	0.894
Ackr2	Ifngr1	10090.ENSMUSP00000148966	10090.ENSMUSP00000020188	0	0	0.281	0	0.073	0	0	0.192	0.414
Ackr2	Il13	10090.ENSMUSP00000148966	10090.ENSMUSP00000020650	0	0	0	0	0	0	0	0.490	0.489
Ackr2	Ccl7	10090.ENSMUSP00000148966	10090.ENSMUSP00000021011	0	0	0	0	0	0	0.500	0.334	0.652
Ackr2	Irf4	10090.ENSMUSP00000148966	10090.ENSMUSP00000021784	0	0	0	0	0.064	0	0	0.399	0.413
Ackr2	Cxcl14	10090.ENSMUSP00000148966	10090.ENSMUSP00000021970	0	0	0	0	0.086	0	0	0.410	0.437
Ackr2	Cxcl13	10090.ENSMUSP00000148966	10090.ENSMUSP00000023840	0	0	0	0	0.073	0	0	0.492	0.508
Ackr2	Ccl25	10090.ENSMUSP00000148966	10090.ENSMUSP00000024004	0	0	0	0	0	0	0	0.997	0.997
Ackr2	Cd4	10090.ENSMUSP00000148966	10090.ENSMUSP00000024044	0	0	0	0	0	0.082	0	0.740	0.751
Ackr2	Tslp	10090.ENSMUSP00000148966	10090.ENSMUSP00000025237	0	0	0	0	0.042	0	0	0.410	0.410
Ackr2	Tnf	10090.ENSMUSP00000148966	10090.ENSMUSP00000025263	0	0	0	0	0	0	0	0.603	0.603
Ackr2	Il33	10090.ENSMUSP00000148966	10090.ENSMUSP00000025724	0	0	0	0	0.061	0	0	0.398	0.410
Ackr2	Il6	10090.ENSMUSP00000148966	10090.ENSMUSP00000026845	0	0	0	0	0	0	0	0.530	0.530
Ackr2	Ccr1	10090.ENSMUSP00000148966	10090.ENSMUSP00000026911	0	0	0	0.837	0	0	0	0.832	0.832
Ackr2	Il17a	10090.ENSMUSP00000148966	10090.ENSMUSP00000027061	0	0	0	0	0	0	0	0.643	0.643
Ackr2	Ctla4	10090.ENSMUSP00000148966	10090.ENSMUSP00000027164	0	0	0	0	0	0	0	0.526	0.526
Ackr2	Xcl1	10090.ENSMUSP00000148966	10090.ENSMUSP00000027860	0	0	0	0	0	0.041	0	0.625	0.625
Ackr2	Il2ra	10090.ENSMUSP00000148966	10090.ENSMUSP00000028111	0	0	0	0	0	0	0	0.503	0.503
Ackr2	Il1b	10090.ENSMUSP00000148966	10090.ENSMUSP00000028881	0	0	0	0	0.047	0	0	0.453	0.456
Ackr2	Il2	10090.ENSMUSP00000148966	10090.ENSMUSP00000029275	0	0	0	0	0	0	0	0.565	0.565
Ackr2	Rorc	10090.ENSMUSP00000148966	10090.ENSMUSP00000029795	0	0	0	0	0.084	0	0	0.457	0.481
Ackr2	Cxcl5	10090.ENSMUSP00000148966	10090.ENSMUSP00000031318	0	0	0	0	0	0	0	0.546	0.546
Ackr2	Pf4	10090.ENSMUSP00000148966	10090.ENSMUSP00000031320	0	0	0	0	0	0	0	0.446	0.446
Ackr2	Cxcl1	10090.ENSMUSP00000148966	10090.ENSMUSP00000031327	0	0	0	0	0	0	0	0.556	0.556
Ackr2	Klrg1	10090.ENSMUSP00000148966	10090.ENSMUSP00000032207	0	0	0	0	0.044	0	0	0.431	0.432
Ackr2	Lag3	10090.ENSMUSP00000148966	10090.ENSMUSP00000032217	0	0	0	0	0	0.082	0	0.400	0.425
Ackr2	Cd40lg	10090.ENSMUSP00000148966	10090.ENSMUSP00000033466	0	0	0	0	0	0	0	0.440	0.440
Ackr2	Il15	10090.ENSMUSP00000148966	10090.ENSMUSP00000034148	0	0	0	0	0	0	0	0.490	0.489
Ackr2	Cx3cl1	10090.ENSMUSP00000148966	10090.ENSMUSP00000034230	0	0	0	0	0.051	0.041	0	0.552	0.556
Ackr2	Ccl22	10090.ENSMUSP00000148966	10090.ENSMUSP00000034231	0	0	0	0	0	0	0.500	0.922	0.959
Ackr2	Ccl17	10090.ENSMUSP00000148966	10090.ENSMUSP00000034232	0	0	0	0	0.059	0	0.500	0.976	0.988
Ackr2	Rag2	10090.ENSMUSP00000148966	10090.ENSMUSP00000038204	0	0	0	0	0	0	0	0.441	0.441
Ackr2	Ccr8	10090.ENSMUSP00000148966	10090.ENSMUSP00000038473	0	0	0	0.853	0	0	0	0.582	0.582
Ackr2	Ccr3	10090.ENSMUSP00000148966	10090.ENSMUSP00000039107	0	0	0	0.826	0	0	0	0.499	0.499
Ackr2	Ccl5	10090.ENSMUSP00000148966	10090.ENSMUSP00000039600	0	0	0	0	0	0.093	0.500	0.893	0.947
Ackr2	Irf8	10090.ENSMUSP00000148966	10090.ENSMUSP00000040245	0	0	0	0	0.053	0	0	0.509	0.515
Ackr2	Il5	10090.ENSMUSP00000148966	10090.ENSMUSP00000043369	0	0	0	0	0	0	0	0.474	0.474
Ackr2	Cxcl10	10090.ENSMUSP00000148966	10090.ENSMUSP00000047646	0	0	0	0	0	0.073	0	0.711	0.721
Ackr2	Cxcr3	10090.ENSMUSP00000148966	10090.ENSMUSP00000052444	0	0	0	0.838	0.053	0	0	0.519	0.525
Ackr2	Cxcr4	10090.ENSMUSP00000148966	10090.ENSMUSP00000053489	0	0	0	0.817	0	0	0	0.641	0.641
Ackr2	Ifnb1	10090.ENSMUSP00000148966	10090.ENSMUSP00000056720	0	0	0.355	0	0	0	0	0.272	0.510
Ackr2	Cxcr6	10090.ENSMUSP00000148966	10090.ENSMUSP00000060776	0	0	0	0.777	0.049	0	0	0.440	0.444
Ackr2	Ifng	10090.ENSMUSP00000148966	10090.ENSMUSP00000063800	0	0	0	0	0.042	0	0	0.652	0.652
Ackr2	Cd8a	10090.ENSMUSP00000148966	10090.ENSMUSP00000068123	0	0	0	0	0.047	0	0	0.439	0.443
Ackr2	Cxcl12	10090.ENSMUSP00000148966	10090.ENSMUSP00000072800	0	0	0	0	0.079	0.090	0	0.859	0.872
Ackr2	Rag1	10090.ENSMUSP00000148966	10090.ENSMUSP00000077584	0	0	0	0	0	0	0	0.457	0.457
Ackr2	Tlr9	10090.ENSMUSP00000148966	10090.ENSMUSP00000082207	0	0	0	0	0.061	0	0	0.390	0.402
Ackr2	Icam1	10090.ENSMUSP00000148966	10090.ENSMUSP00000083587	0	0	0	0	0.102	0	0	0.410	0.447
Ackr2	Cd86	10090.ENSMUSP00000148966	10090.ENSMUSP00000087047	0	0	0	0	0.045	0	0	0.492	0.494
Ackr2	Ccl26	10090.ENSMUSP00000148966	10090.ENSMUSP00000091779	0	0	0	0	0	0	0	0.466	0.465
Ackr2	Ccr6	10090.ENSMUSP00000148966	10090.ENSMUSP00000095029	0	0	0	0.812	0.060	0	0	0.554	0.563
Ackr2	Ccl28	10090.ENSMUSP00000148966	10090.ENSMUSP00000096847	0	0	0	0	0	0	0	0.958	0.958
Ackr2	Serpinb9	10090.ENSMUSP00000148966	10090.ENSMUSP00000099002	0	0	0	0	0.061	0.042	0	0.399	0.412
Ackr2	Ccr7	10090.ENSMUSP00000148966	10090.ENSMUSP00000099423	0	0	0	0.771	0.065	0	0	0.799	0.804
Ackr2	Ccl19	10090.ENSMUSP00000148966	10090.ENSMUSP00000100022	0	0	0	0	0.123	0	0	0.945	0.949
