#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
1700013H16Rik	Slx	10090.ENSMUSP00000063474	10090.ENSMUSP00000094676	0	0	0	0	0	0	0	0.744	0.744
Actb	Smarcd1	10090.ENSMUSP00000098066	10090.ENSMUSP00000023759	0	0	0	0	0.078	0.263	0.800	0.530	0.927
Actb	Phf10	10090.ENSMUSP00000098066	10090.ENSMUSP00000024657	0	0	0	0	0.060	0.263	0.800	0.426	0.909
Actb	Mllt1	10090.ENSMUSP00000098066	10090.ENSMUSP00000025053	0	0	0	0	0	0.131	0.540	0.231	0.665
Actb	Brd2	10090.ENSMUSP00000098066	10090.ENSMUSP00000025193	0	0	0	0	0.082	0.140	0	0.306	0.405
Actb	Smarca2	10090.ENSMUSP00000098066	10090.ENSMUSP00000025862	0	0	0	0	0.052	0.298	0.650	0.496	0.867
Actb	Actl6a	10090.ENSMUSP00000098066	10090.ENSMUSP00000029214	0	0	0	0.867	0.053	0.446	0.800	0.856	0.982
Actb	Pax7	10090.ENSMUSP00000098066	10090.ENSMUSP00000030508	0	0	0	0	0	0.051	0	0.395	0.401
Actb	Smarcd3	10090.ENSMUSP00000098066	10090.ENSMUSP00000030791	0	0	0	0	0.078	0.257	0.800	0.217	0.878
Actb	Bcl7a	10090.ENSMUSP00000098066	10090.ENSMUSP00000031391	0	0	0	0	0	0.094	0.540	0.428	0.740
Actb	Hnf1a	10090.ENSMUSP00000098066	10090.ENSMUSP00000031535	0	0	0	0	0	0.066	0	0.392	0.407
Actb	Bcl7b	10090.ENSMUSP00000098066	10090.ENSMUSP00000031692	0	0	0	0	0	0.094	0.540	0.087	0.586
Actb	Ruvbl1	10090.ENSMUSP00000098066	10090.ENSMUSP00000032165	0	0	0	0	0.055	0.357	0.720	0.293	0.863
Actb	Hcfc1	10090.ENSMUSP00000098066	10090.ENSMUSP00000033761	0	0	0	0	0.073	0	0.720	0.225	0.781
Actb	Brd7	10090.ENSMUSP00000098066	10090.ENSMUSP00000034085	0	0	0	0	0	0.263	0.800	0.212	0.873
Actb	H1f6	10090.ENSMUSP00000098066	10090.ENSMUSP00000037304	0	0	0	0	0.052	0.083	0	0.451	0.481
Actb	Fshr	10090.ENSMUSP00000098066	10090.ENSMUSP00000040477	0	0	0	0	0.069	0	0	0.400	0.418
Actb	Dicer1	10090.ENSMUSP00000098066	10090.ENSMUSP00000043676	0	0	0	0	0	0	0	0.564	0.564
Actb	Mcrs1	10090.ENSMUSP00000098066	10090.ENSMUSP00000043901	0	0	0	0	0	0.092	0.720	0.081	0.746
Actb	Ptma	10090.ENSMUSP00000098066	10090.ENSMUSP00000044188	0	0	0	0	0.609	0.066	0	0.254	0.704
Actb	Bicral	10090.ENSMUSP00000098066	10090.ENSMUSP00000044833	0	0	0	0	0	0.093	0.540	0.092	0.588
Actb	Ss18	10090.ENSMUSP00000098066	10090.ENSMUSP00000046320	0	0	0	0	0.045	0.114	0.540	0.124	0.613
Actb	Ep400	10090.ENSMUSP00000098066	10090.ENSMUSP00000049038	0	0	0	0	0.048	0.290	0.720	0.437	0.879
Actb	Dpf1	10090.ENSMUSP00000098066	10090.ENSMUSP00000054385	0	0	0	0	0.052	0.096	0.800	0.145	0.833
Actb	H2bfm	10090.ENSMUSP00000098066	10090.ENSMUSP00000055261	0	0	0	0	0	0.126	0	0.378	0.434
Actb	H2bc1	10090.ENSMUSP00000098066	10090.ENSMUSP00000056604	0	0	0	0	0	0.126	0	0.379	0.434
Actb	H1f4	10090.ENSMUSP00000098066	10090.ENSMUSP00000057308	0	0	0	0	0.041	0.083	0	0.479	0.501
Actb	Kdm6a	10090.ENSMUSP00000098066	10090.ENSMUSP00000061539	0	0	0	0	0.065	0.128	0	0.336	0.412
Actb	Npm1	10090.ENSMUSP00000098066	10090.ENSMUSP00000075067	0	0	0	0	0.116	0.222	0	0.461	0.597
Actb	Mysm1	10090.ENSMUSP00000098066	10090.ENSMUSP00000075269	0	0	0	0	0.050	0.529	0	0.160	0.591
Actb	H2bu2	10090.ENSMUSP00000098066	10090.ENSMUSP00000076397	0	0	0	0	0	0.126	0	0.378	0.434
Actb	Ssrp1	10090.ENSMUSP00000098066	10090.ENSMUSP00000076971	0	0	0	0	0.068	0.064	0	0.459	0.486
Actb	Mllt3	10090.ENSMUSP00000098066	10090.ENSMUSP00000077232	0	0	0	0	0	0.131	0.540	0.306	0.698
Actb	H3c8	10090.ENSMUSP00000098066	10090.ENSMUSP00000079670	0	0.002	0.214	0	0.069	0.168	0	0.857	0.901
Actb	Ezh2	10090.ENSMUSP00000098066	10090.ENSMUSP00000080419	0	0	0	0	0.068	0.066	0	0.610	0.631
Actb	Morf4l1	10090.ENSMUSP00000098066	10090.ENSMUSP00000082346	0	0	0	0	0.220	0.138	0.720	0.107	0.809
Actb	H4c11	10090.ENSMUSP00000098066	10090.ENSMUSP00000085006	0	0	0	0	0.051	0.181	0	0.566	0.633
Actb	Smarcc1	10090.ENSMUSP00000098066	10090.ENSMUSP00000086094	0	0	0	0	0	0.257	0.650	0.583	0.882
Actb	Pax6	10090.ENSMUSP00000098066	10090.ENSMUSP00000087870	0	0	0	0	0	0.051	0	0.527	0.532
Actb	H2bc21	10090.ENSMUSP00000098066	10090.ENSMUSP00000088287	0	0	0	0	0	0.126	0	0.378	0.433
Actb	H3c1	10090.ENSMUSP00000098066	10090.ENSMUSP00000089293	0	0.002	0.214	0	0.069	0.168	0	0.466	0.631
Actb	H2bc15	10090.ENSMUSP00000098066	10090.ENSMUSP00000089301	0	0	0	0	0	0.126	0	0.395	0.449
Actb	Hist1h2bq	10090.ENSMUSP00000098066	10090.ENSMUSP00000089343	0	0	0	0	0	0.126	0	0.379	0.434
Actb	Kdm6b	10090.ENSMUSP00000098066	10090.ENSMUSP00000091620	0	0	0	0	0.074	0.128	0	0.352	0.432
Actb	Arid2	10090.ENSMUSP00000098066	10090.ENSMUSP00000093969	0	0	0	0	0	0.195	0.800	0.221	0.863
Actb	Hdac4	10090.ENSMUSP00000098066	10090.ENSMUSP00000095249	0	0	0	0	0.064	0.096	0	0.665	0.692
Actb	Smarca4	10090.ENSMUSP00000098066	10090.ENSMUSP00000096547	0	0	0	0	0.063	0.298	0.650	0.683	0.917
Actb	Brd9	10090.ENSMUSP00000098066	10090.ENSMUSP00000096982	0	0	0	0	0.046	0.236	0.540	0.212	0.700
Actb	H2bc3	10090.ENSMUSP00000098066	10090.ENSMUSP00000097294	0	0	0	0	0	0.126	0	0.391	0.445
Actb	Atrx	10090.ENSMUSP00000098066	10090.ENSMUSP00000109203	0	0	0	0	0.068	0.121	0	0.342	0.414
Actb	H2bc12	10090.ENSMUSP00000098066	10090.ENSMUSP00000106085	0	0	0	0	0	0.126	0	0.378	0.434
Actb	H2bc18	10090.ENSMUSP00000098066	10090.ENSMUSP00000135427	0	0	0	0	0	0.126	0	0.378	0.434
Actb	H2bc14	10090.ENSMUSP00000098066	10090.ENSMUSP00000153457	0	0	0	0	0	0.126	0	0.378	0.434
Actb	H2bc9	10090.ENSMUSP00000098066	10090.ENSMUSP00000153277	0	0	0	0	0	0.126	0	0.378	0.434
Actb	Top1	10090.ENSMUSP00000098066	10090.ENSMUSP00000105094	0	0	0	0	0.061	0.081	0	0.398	0.435
Actb	Hist1h2bp	10090.ENSMUSP00000098066	10090.ENSMUSP00000106099	0	0	0	0	0.049	0.126	0	0.378	0.438
Actb	Actr8	10090.ENSMUSP00000098066	10090.ENSMUSP00000153076	0	0	0	0	0	0.414	0	0.165	0.490
Actb	Set	10090.ENSMUSP00000098066	10090.ENSMUSP00000099930	0	0	0	0	0.158	0.306	0	0.212	0.500
Actb	Nr3c1	10090.ENSMUSP00000098066	10090.ENSMUSP00000111229	0	0	0	0	0	0.066	0	0.507	0.520
Actb	H1f0	10090.ENSMUSP00000098066	10090.ENSMUSP00000137309	0	0	0	0	0	0.083	0	0.519	0.540
Actb	H3f3a	10090.ENSMUSP00000098066	10090.ENSMUSP00000124509	0	0.002	0.208	0	0.239	0.168	0	0.216	0.554
Actb	Gata3	10090.ENSMUSP00000098066	10090.ENSMUSP00000100041	0	0	0	0	0	0.052	0	0.552	0.558
Actb	Bcl7c	10090.ENSMUSP00000098066	10090.ENSMUSP00000145743	0	0	0	0	0	0.099	0.540	0.086	0.588
Actb	Bicra	10090.ENSMUSP00000098066	10090.ENSMUSP00000148012	0	0	0	0	0	0.093	0.540	0.112	0.597
Actb	Yeats2	10090.ENSMUSP00000098066	10090.ENSMUSP00000111222	0	0	0	0	0	0.131	0.540	0.073	0.597
Actb	Trp63	10090.ENSMUSP00000098066	10090.ENSMUSP00000110965	0	0	0	0	0	0.041	0	0.615	0.615
Actb	H3c10	10090.ENSMUSP00000098066	10090.ENSMUSP00000140394	0	0.002	0.214	0	0.069	0.168	0	0.466	0.631
Actb	Dpf2	10090.ENSMUSP00000098066	10090.ENSMUSP00000113465	0	0	0	0	0.060	0.096	0.540	0.180	0.636
Actb	H3c11	10090.ENSMUSP00000098066	10090.ENSMUSP00000139663	0	0.002	0.214	0	0.069	0.168	0	0.479	0.640
Actb	Hdac1	10090.ENSMUSP00000098066	10090.ENSMUSP00000099657	0	0	0	0	0.074	0.096	0	0.772	0.793
Actb	Dpf3	10090.ENSMUSP00000098066	10090.ENSMUSP00000136280	0	0	0	0	0.052	0.096	0.800	0.138	0.832
Actb	Ruvbl2	10090.ENSMUSP00000098066	10090.ENSMUSP00000147502	0	0	0	0	0.069	0.303	0.720	0.262	0.848
Actb	Arid1b	10090.ENSMUSP00000098066	10090.ENSMUSP00000111463	0	0	0	0	0.042	0.138	0.800	0.242	0.858
Actb	Smarcc2	10090.ENSMUSP00000098066	10090.ENSMUSP00000100868	0	0	0	0	0	0.257	0.650	0.575	0.879
Actb	Pbrm1	10090.ENSMUSP00000098066	10090.ENSMUSP00000107727	0	0	0	0	0.058	0.295	0.800	0.264	0.889
Actb	Dmap1	10090.ENSMUSP00000098066	10090.ENSMUSP00000099748	0	0	0	0	0.073	0.407	0.720	0.485	0.910
Actb	Actl6b	10090.ENSMUSP00000098066	10090.ENSMUSP00000119356	0	0	0	0.873	0	0.326	0.800	0.421	0.915
Actb	Arid1a	10090.ENSMUSP00000098066	10090.ENSMUSP00000101517	0	0	0	0	0.073	0.363	0.800	0.598	0.946
Actb	Smarce1	10090.ENSMUSP00000098066	10090.ENSMUSP00000099422	0	0	0	0	0.050	0.291	0.800	0.652	0.946
Actb	H3f3b	10090.ENSMUSP00000098066	10090.ENSMUSP00000102062	0	0.002	0.208	0	0.582	0.385	0	0.809	0.956
Actl6a	Smarcb1	10090.ENSMUSP00000029214	10090.ENSMUSP00000000925	0	0	0	0	0.185	0.831	0.900	0.988	0.999
Actl6a	Hltf	10090.ENSMUSP00000029214	10090.ENSMUSP00000002502	0	0	0	0	0.108	0.379	0	0.197	0.516
Actl6a	Baz1b	10090.ENSMUSP00000029214	10090.ENSMUSP00000002825	0	0	0	0	0.053	0.329	0	0.208	0.453
Actl6a	Chaf1a	10090.ENSMUSP00000029214	10090.ENSMUSP00000002914	0	0	0	0	0.115	0.292	0	0.244	0.485
Actl6a	Vps72	10090.ENSMUSP00000029214	10090.ENSMUSP00000009102	0	0	0	0	0.071	0.622	0.720	0.494	0.943
Actl6a	Hdac2	10090.ENSMUSP00000029214	10090.ENSMUSP00000019911	0	0	0	0	0.209	0.096	0	0.362	0.504
Actl6a	Actr6	10090.ENSMUSP00000029214	10090.ENSMUSP00000020109	0	0	0	0.625	0.091	0.141	0.540	0.247	0.693
Actl6a	Yeats4	10090.ENSMUSP00000029214	10090.ENSMUSP00000020382	0	0	0	0	0.111	0.573	0.720	0.521	0.942
Actl6a	Smarcd2	10090.ENSMUSP00000029214	10090.ENSMUSP00000021052	0	0	0	0	0.132	0.558	0.800	0.820	0.984
Actl6a	Yy1	10090.ENSMUSP00000029214	10090.ENSMUSP00000021692	0	0	0	0	0.042	0.244	0.800	0.168	0.863
Actl6a	Myc	10090.ENSMUSP00000029214	10090.ENSMUSP00000022971	0	0	0	0	0.065	0.406	0	0.272	0.560
Actl6a	Smarcd1	10090.ENSMUSP00000029214	10090.ENSMUSP00000023759	0	0	0	0	0.118	0.829	0.900	0.982	0.999
Actl6a	Phf10	10090.ENSMUSP00000029214	10090.ENSMUSP00000024657	0	0	0	0	0.132	0.766	0.900	0.997	0.999
Actl6a	Mllt1	10090.ENSMUSP00000029214	10090.ENSMUSP00000025053	0	0	0	0	0.051	0.299	0.540	0.178	0.714
Actl6a	Smarca2	10090.ENSMUSP00000029214	10090.ENSMUSP00000025862	0	0	0	0	0.048	0.823	0.900	0.893	0.997
Actl6a	H3f3a	10090.ENSMUSP00000029214	10090.ENSMUSP00000124509	0	0	0	0	0.091	0.300	0	0.141	0.405
Actl6a	H4f16	10090.ENSMUSP00000029214	10090.ENSMUSP00000136357	0	0	0	0	0	0.334	0	0.155	0.413
Actl6a	H4c1	10090.ENSMUSP00000029214	10090.ENSMUSP00000100029	0	0	0	0	0	0.334	0	0.160	0.416
Actl6a	Rbbp4	10090.ENSMUSP00000029214	10090.ENSMUSP00000099658	0	0	0	0	0.267	0.094	0	0.225	0.441
Actl6a	Smarca5	10090.ENSMUSP00000029214	10090.ENSMUSP00000044361	0	0	0	0	0.115	0.121	0	0.356	0.455
Actl6a	Ezh2	10090.ENSMUSP00000029214	10090.ENSMUSP00000080419	0	0	0	0	0.231	0.055	0	0.311	0.456
Actl6a	Ercc6l2	10090.ENSMUSP00000029214	10090.ENSMUSP00000069488	0	0	0	0	0.114	0.379	0	0.120	0.473
Actl6a	Rbbp7	10090.ENSMUSP00000029214	10090.ENSMUSP00000033720	0	0	0	0	0.301	0.094	0	0.249	0.483
Actl6a	Ercc6l	10090.ENSMUSP00000029214	10090.ENSMUSP00000050592	0	0	0	0	0.130	0.379	0	0.120	0.483
Actl6a	H3f3b	10090.ENSMUSP00000029214	10090.ENSMUSP00000102062	0	0	0	0	0.117	0.300	0	0.326	0.547
Actl6a	Kat6a	10090.ENSMUSP00000029214	10090.ENSMUSP00000038181	0	0	0	0	0.095	0.439	0	0.239	0.580
Actl6a	Kat6b	10090.ENSMUSP00000029214	10090.ENSMUSP00000138377	0	0	0	0	0.095	0.439	0	0.280	0.603
Actl6a	Mysm1	10090.ENSMUSP00000029214	10090.ENSMUSP00000075269	0	0	0	0	0.042	0.557	0	0.143	0.604
Actl6a	Chd4	10090.ENSMUSP00000029214	10090.ENSMUSP00000060054	0	0	0	0	0.080	0.121	0	0.627	0.672
Actl6a	H3c8	10090.ENSMUSP00000029214	10090.ENSMUSP00000079670	0	0	0	0	0.069	0.300	0.400	0.326	0.701
Actl6a	H4c11	10090.ENSMUSP00000029214	10090.ENSMUSP00000085006	0	0	0	0	0	0.334	0.500	0.220	0.717
Actl6a	Mllt3	10090.ENSMUSP00000029214	10090.ENSMUSP00000077232	0	0	0	0	0.051	0.299	0.540	0.202	0.723
Actl6a	Cfdp1	10090.ENSMUSP00000029214	10090.ENSMUSP00000034432	0	0	0	0	0.114	0.305	0.540	0.172	0.734
Actl6a	Yeats2	10090.ENSMUSP00000029214	10090.ENSMUSP00000111222	0	0	0	0	0.076	0.299	0.540	0.230	0.740
Actl6a	Hcfc1	10090.ENSMUSP00000029214	10090.ENSMUSP00000033761	0	0	0	0	0.171	0.045	0.720	0.078	0.768
Actl6a	Anp32e	10090.ENSMUSP00000029214	10090.ENSMUSP00000128483	0	0	0	0	0.181	0.093	0.720	0	0.773
Actl6a	Uchl5	10090.ENSMUSP00000029214	10090.ENSMUSP00000140106	0	0	0	0	0.120	0.270	0.720	0.081	0.812
Actl6a	Nfrkb	10090.ENSMUSP00000029214	10090.ENSMUSP00000083341	0	0	0	0	0	0.168	0.800	0	0.826
Actl6a	Ino80d	10090.ENSMUSP00000029214	10090.ENSMUSP00000130864	0	0	0	0	0	0.168	0.800	0.065	0.830
Actl6a	Znhit1	10090.ENSMUSP00000029214	10090.ENSMUSP00000106720	0	0	0	0	0.047	0.505	0.540	0.333	0.836
Actl6a	Ino80b	10090.ENSMUSP00000029214	10090.ENSMUSP00000032109	0	0	0	0	0	0.168	0.800	0.100	0.837
Actl6a	Mcrs1	10090.ENSMUSP00000029214	10090.ENSMUSP00000043901	0	0	0	0	0.080	0.168	0.800	0.086	0.841
Actl6a	Tfpt	10090.ENSMUSP00000029214	10090.ENSMUSP00000104281	0	0	0	0	0.077	0.235	0.800	0.120	0.859
Actl6a	Srcap	10090.ENSMUSP00000029214	10090.ENSMUSP00000140036	0	0	0	0	0	0.653	0.540	0.304	0.879
Actl6a	Ino80e	10090.ENSMUSP00000029214	10090.ENSMUSP00000049851	0	0	0	0	0.073	0.413	0.800	0.047	0.882
Actl6a	Ino80	10090.ENSMUSP00000029214	10090.ENSMUSP00000051845	0	0	0	0	0.100	0.379	0.800	0.154	0.892
Actl6a	Actl6b	10090.ENSMUSP00000029214	10090.ENSMUSP00000119356	0	0	0.049	0.982	0	0	0.900	0.222	0.919
Actl6a	Bcl7b	10090.ENSMUSP00000029214	10090.ENSMUSP00000031692	0	0	0	0	0.079	0.202	0.900	0.280	0.940
Actl6a	Ino80c	10090.ENSMUSP00000029214	10090.ENSMUSP00000114643	0	0	0	0	0.059	0.555	0.800	0.400	0.943
Actl6a	Morf4l1	10090.ENSMUSP00000029214	10090.ENSMUSP00000082346	0	0	0	0	0.187	0.550	0.720	0.553	0.948
Actl6a	Bicral	10090.ENSMUSP00000029214	10090.ENSMUSP00000044833	0	0	0	0	0	0.140	0.900	0.447	0.948
Actl6a	Actr5	10090.ENSMUSP00000029214	10090.ENSMUSP00000046658	0	0	0	0.567	0.044	0.644	0.800	0.383	0.952
Actl6a	Bicra	10090.ENSMUSP00000029214	10090.ENSMUSP00000148012	0	0	0	0	0	0.173	0.900	0.545	0.959
Actl6a	Dpf2	10090.ENSMUSP00000029214	10090.ENSMUSP00000113465	0	0	0	0	0.159	0.558	0.540	0.806	0.962
Actl6a	Arid1b	10090.ENSMUSP00000029214	10090.ENSMUSP00000111463	0	0	0	0	0	0.421	0.800	0.710	0.963
Actl6a	Bcl7c	10090.ENSMUSP00000029214	10090.ENSMUSP00000145743	0	0	0	0	0.087	0.492	0.900	0.364	0.966
