#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
2610528A11Rik	Gpr15	10090.ENSMUSP00000136426	10090.ENSMUSP00000086731	0	0	0	0	0	0	0	0.792	0.792
4930544G11Rik	Pkn3	10090.ENSMUSP00000045487	10090.ENSMUSP00000041025	0	0	0	0	0.052	0.384	0	0.161	0.467
4930544G11Rik	Rras	10090.ENSMUSP00000045487	10090.ENSMUSP00000042150	0	0	0.090	0.720	0	0.116	0.900	0.094	0.917
4930544G11Rik	Myo9b	10090.ENSMUSP00000045487	10090.ENSMUSP00000129220	0	0	0	0	0	0.492	0	0.092	0.519
4930544G11Rik	Net1	10090.ENSMUSP00000045487	10090.ENSMUSP00000089464	0	0	0	0	0	0.512	0	0.162	0.573
4930544G11Rik	Anln	10090.ENSMUSP00000045487	10090.ENSMUSP00000045873	0	0	0	0	0.048	0.534	0	0.281	0.653
4930544G11Rik	Pip5k1a	10090.ENSMUSP00000045487	10090.ENSMUSP00000102852	0	0	0	0	0	0.080	0.900	0.082	0.908
4930544G11Rik	Fyn	10090.ENSMUSP00000045487	10090.ENSMUSP00000097547	0	0	0	0	0.072	0.105	0.900	0.074	0.912
4930544G11Rik	Vav2	10090.ENSMUSP00000045487	10090.ENSMUSP00000062782	0	0	0	0	0	0.127	0.900	0.118	0.916
4930544G11Rik	Actb	10090.ENSMUSP00000045487	10090.ENSMUSP00000098066	0	0	0	0	0.079	0.068	0.900	0.169	0.919
4930544G11Rik	Cdc42	10090.ENSMUSP00000045487	10090.ENSMUSP00000054634	0	0	0.063	0.949	0.102	0.199	0.900	0.124	0.930
4930544G11Rik	Daam2	10090.ENSMUSP00000045487	10090.ENSMUSP00000052085	0	0	0	0	0	0.292	0.900	0.148	0.934
4930544G11Rik	Arhgap5	10090.ENSMUSP00000045487	10090.ENSMUSP00000151809	0	0	0	0	0	0.420	0.900	0.101	0.943
4930544G11Rik	Arhgap35	10090.ENSMUSP00000045487	10090.ENSMUSP00000075242	0	0	0	0	0	0.578	0.900	0.101	0.958
4930544G11Rik	Pkn1	10090.ENSMUSP00000045487	10090.ENSMUSP00000116235	0	0	0	0	0.052	0.557	0.900	0.216	0.962
4930544G11Rik	Rock1	10090.ENSMUSP00000045487	10090.ENSMUSP00000069549	0	0	0	0	0.072	0.558	0.900	0.389	0.971
AU040320	Dnaaf4	10090.ENSMUSP00000099667	10090.ENSMUSP00000034734	0	0	0	0	0	0.051	0	0.614	0.618
AU040320	Dcdc2a	10090.ENSMUSP00000099667	10090.ENSMUSP00000063650	0	0	0	0	0	0.068	0	0.680	0.689
Aamp	Egfr	10090.ENSMUSP00000136644	10090.ENSMUSP00000020329	0	0	0	0	0	0	0.900	0.106	0.906
Aamp	Prrxl1	10090.ENSMUSP00000136644	10090.ENSMUSP00000140337	0	0	0	0	0	0	0	0.402	0.402
Abcc1	Akt1	10090.ENSMUSP00000097743	10090.ENSMUSP00000001780	0	0.001	0	0	0.059	0.062	0	0.496	0.517
Abcc1	Cd44	10090.ENSMUSP00000097743	10090.ENSMUSP00000005218	0	0	0	0	0.135	0.059	0	0.457	0.519
Abcc1	Ctnnb1	10090.ENSMUSP00000097743	10090.ENSMUSP00000007130	0	0	0	0	0.046	0.046	0	0.640	0.644
Abcc1	Egfr	10090.ENSMUSP00000097743	10090.ENSMUSP00000020329	0	0	0	0	0.055	0.048	0	0.481	0.492
Abcc1	Hif1a	10090.ENSMUSP00000097743	10090.ENSMUSP00000021530	0	0	0	0	0.074	0.059	0	0.384	0.416
Abcc1	Spns2	10090.ENSMUSP00000097743	10090.ENSMUSP00000044418	0	0	0	0	0	0.055	0	0.668	0.672
Abcc1	S1pr1	10090.ENSMUSP00000097743	10090.ENSMUSP00000050897	0	0	0	0	0	0	0	0.440	0.440
Abcc1	Psen1	10090.ENSMUSP00000097743	10090.ENSMUSP00000098786	0	0	0	0	0.064	0	0	0.415	0.429
Abcc1	Actb	10090.ENSMUSP00000097743	10090.ENSMUSP00000098066	0	0	0	0	0.066	0.065	0	0.439	0.467
Abcc1	Bcl2	10090.ENSMUSP00000097743	10090.ENSMUSP00000108371	0	0	0	0	0.098	0	0	0.491	0.521
Abhd2	Catsper3	10090.ENSMUSP00000038361	10090.ENSMUSP00000021961	0	0	0	0	0	0	0	0.402	0.402
Abhd2	Catsper2	10090.ENSMUSP00000038361	10090.ENSMUSP00000037222	0	0	0	0	0	0	0	0.428	0.428
Abhd2	Efcab9	10090.ENSMUSP00000038361	10090.ENSMUSP00000060205	0	0	0	0	0	0	0	0.408	0.408
Abhd2	Catsperz	10090.ENSMUSP00000038361	10090.ENSMUSP00000056681	0	0	0	0	0	0	0	0.410	0.410
Abhd2	Catsper1	10090.ENSMUSP00000038361	10090.ENSMUSP00000045430	0	0	0	0	0	0	0	0.603	0.603
Abi2	Vav1	10090.ENSMUSP00000140274	10090.ENSMUSP00000005889	0	0	0	0	0	0	0.500	0.116	0.539
Abi2	Epha2	10090.ENSMUSP00000140274	10090.ENSMUSP00000006614	0	0	0	0	0	0.106	0.400	0.133	0.494
Abi2	Crk	10090.ENSMUSP00000140274	10090.ENSMUSP00000017920	0	0	0	0	0.052	0	0.500	0.330	0.655
Abi2	Abl2	10090.ENSMUSP00000140274	10090.ENSMUSP00000027888	0	0	0	0	0.052	0.524	0	0.530	0.769
Abi2	Pik3ca	10090.ENSMUSP00000140274	10090.ENSMUSP00000029201	0	0	0	0	0.098	0	0.400	0	0.435
Abi2	Pik3r3	10090.ENSMUSP00000140274	10090.ENSMUSP00000030464	0	0	0	0	0	0	0.400	0.047	0.403
Abi2	Pak1	10090.ENSMUSP00000140274	10090.ENSMUSP00000033040	0	0	0	0	0.082	0.054	0.400	0.065	0.447
Abi2	Nckap1l	10090.ENSMUSP00000140274	10090.ENSMUSP00000035400	0	0	0	0	0.042	0.559	0.720	0.970	0.996
Abi2	Vav3	10090.ENSMUSP00000140274	10090.ENSMUSP00000036270	0	0	0	0	0	0	0.500	0.079	0.520
Abi2	Brk1	10090.ENSMUSP00000140274	10090.ENSMUSP00000041644	0	0	0	0	0.047	0.881	0.720	0.915	0.996
Abi2	Eps8	10090.ENSMUSP00000140274	10090.ENSMUSP00000052776	0	0	0	0	0.057	0.308	0	0.457	0.615
Abi2	Cdc42	10090.ENSMUSP00000140274	10090.ENSMUSP00000054634	0	0	0	0	0.049	0.192	0.400	0.382	0.676
Abi2	Pik3r1	10090.ENSMUSP00000140274	10090.ENSMUSP00000056774	0	0	0	0	0	0	0.400	0.047	0.403
Abi2	Depdc1b	10090.ENSMUSP00000140274	10090.ENSMUSP00000059291	0	0	0	0	0.068	0	0.400	0.140	0.477
Abi2	Vav2	10090.ENSMUSP00000140274	10090.ENSMUSP00000062782	0	0	0	0	0	0	0.500	0.052	0.505
Abi2	Elmo1	10090.ENSMUSP00000140274	10090.ENSMUSP00000072334	0	0	0	0	0.057	0	0.500	0.173	0.576
Abi2	Elmo2	10090.ENSMUSP00000140274	10090.ENSMUSP00000073691	0	0	0	0	0.061	0	0.500	0.173	0.577
Abi2	Abl1	10090.ENSMUSP00000140274	10090.ENSMUSP00000075167	0	0	0	0	0.042	0.524	0.400	0.797	0.937
Abi2	Arpc5	10090.ENSMUSP00000140274	10090.ENSMUSP00000076933	0	0	0	0	0	0	0.500	0.385	0.679
Abi2	Wasf2	10090.ENSMUSP00000140274	10090.ENSMUSP00000081263	0	0	0	0	0.051	0.678	0.720	0.985	0.998
Abi2	Dock1	10090.ENSMUSP00000140274	10090.ENSMUSP00000081531	0	0	0	0	0.061	0	0.500	0.222	0.603
Abi2	Nck2	10090.ENSMUSP00000140274	10090.ENSMUSP00000083611	0	0	0	0	0.046	0.421	0	0.270	0.561
Abi2	Pxn	10090.ENSMUSP00000140274	10090.ENSMUSP00000083709	0	0	0	0	0	0	0.500	0.117	0.539
Abi2	Itgb1	10090.ENSMUSP00000140274	10090.ENSMUSP00000087457	0	0	0	0	0.051	0	0.400	0.065	0.421
Abi2	Src	10090.ENSMUSP00000140274	10090.ENSMUSP00000090237	0	0	0	0	0	0.106	0.500	0.196	0.609
Abi2	Hsp90aa1	10090.ENSMUSP00000140274	10090.ENSMUSP00000091921	0	0	0	0	0.057	0	0.500	0.076	0.526
Abi2	Srgap2	10090.ENSMUSP00000140274	10090.ENSMUSP00000095195	0	0	0	0	0.084	0.064	0	0.523	0.556
Abi2	Rac1	10090.ENSMUSP00000140274	10090.ENSMUSP00000098058	0	0	0	0	0	0.416	0.500	0.306	0.779
Abi2	Actb	10090.ENSMUSP00000140274	10090.ENSMUSP00000098066	0	0	0	0	0	0.063	0.500	0.181	0.583
Abi2	Ptk2	10090.ENSMUSP00000140274	10090.ENSMUSP00000105663	0	0	0	0	0.079	0	0.500	0.103	0.550
Abi2	Nckap1	10090.ENSMUSP00000140274	10090.ENSMUSP00000107390	0	0	0	0	0.060	0.892	0.720	0.994	0.999
Abi2	Kdr	10090.ENSMUSP00000140274	10090.ENSMUSP00000109144	0	0	0	0	0	0	0.500	0.071	0.515
Abi2	Nck1	10090.ENSMUSP00000140274	10090.ENSMUSP00000112221	0	0	0	0	0	0.286	0.500	0.567	0.831
Abi2	Vegfa	10090.ENSMUSP00000140274	10090.ENSMUSP00000115883	0	0	0	0	0	0	0.500	0	0.499
Abi2	Iqgap1	10090.ENSMUSP00000140274	10090.ENSMUSP00000128278	0	0	0	0	0.053	0	0.400	0.120	0.456
Abi2	Bcar1	10090.ENSMUSP00000140274	10090.ENSMUSP00000129584	0	0	0	0	0	0.070	0.500	0.233	0.612
Abi2	Gab1	10090.ENSMUSP00000140274	10090.ENSMUSP00000147784	0	0	0	0	0.044	0.235	0	0.337	0.473
Abl1	Ccl2	10090.ENSMUSP00000075167	10090.ENSMUSP00000000193	0	0	0	0	0.081	0	0	0.393	0.418
Abl1	Akt1	10090.ENSMUSP00000075167	10090.ENSMUSP00000001780	0	0	0	0.577	0.066	0	0	0.525	0.537
Abl1	Ephb3	10090.ENSMUSP00000075167	10090.ENSMUSP00000006112	0	0	0	0.616	0.071	0	0.900	0.440	0.943
Abl1	Crkl	10090.ENSMUSP00000075167	10090.ENSMUSP00000006293	0	0	0	0.596	0.044	0.560	0.900	0.360	0.969
Abl1	Epha2	10090.ENSMUSP00000075167	10090.ENSMUSP00000006614	0	0	0	0.618	0.095	0	0.900	0.459	0.946
Abl1	Ctnnb1	10090.ENSMUSP00000075167	10090.ENSMUSP00000007130	0	0	0	0	0.092	0.138	0.500	0.543	0.797
Abl1	Rhoa	10090.ENSMUSP00000075167	10090.ENSMUSP00000007959	0	0	0	0	0.082	0.105	0	0.405	0.469
Abl1	Pten	10090.ENSMUSP00000075167	10090.ENSMUSP00000013807	0	0	0	0	0.047	0.091	0	0.501	0.530
Abl1	Cd34	10090.ENSMUSP00000075167	10090.ENSMUSP00000016638	0	0	0	0	0.080	0	0	0.531	0.550
Abl1	Crk	10090.ENSMUSP00000075167	10090.ENSMUSP00000017920	0	0	0	0.583	0.053	0.686	0.900	0.916	0.997
Abl1	Gipc1	10090.ENSMUSP00000075167	10090.ENSMUSP00000019577	0	0	0	0	0.048	0.066	0	0.539	0.554
Abl1	Egfr	10090.ENSMUSP00000075167	10090.ENSMUSP00000020329	0	0	0	0.591	0	0.281	0	0.380	0.535
Abl1	Mapk8	10090.ENSMUSP00000075167	10090.ENSMUSP00000022504	0	0	0	0.582	0	0.094	0	0.432	0.463
Abl1	Robo1	10090.ENSMUSP00000075167	10090.ENSMUSP00000023600	0	0	0	0	0.079	0.175	0.900	0.177	0.929
Abl1	Cdh2	10090.ENSMUSP00000075167	10090.ENSMUSP00000025166	0	0	0	0	0	0.065	0.500	0.285	0.636
Abl1	Tnf	10090.ENSMUSP00000075167	10090.ENSMUSP00000025263	0	0	0	0	0	0.071	0	0.431	0.448
Abl1	Epha4	10090.ENSMUSP00000075167	10090.ENSMUSP00000027451	0	0	0	0.615	0.071	0.230	0.900	0.465	0.956
Abl1	Abl2	10090.ENSMUSP00000075167	10090.ENSMUSP00000027888	0	0	0.069	0.935	0.084	0	0.500	0.466	0.742
Abl1	Notch1	10090.ENSMUSP00000075167	10090.ENSMUSP00000028288	0	0	0	0	0.053	0.098	0	0.487	0.524
Abl1	Mdk	10090.ENSMUSP00000075167	10090.ENSMUSP00000028672	0	0	0	0	0	0.044	0	0.479	0.480
Abl1	Pik3ca	10090.ENSMUSP00000075167	10090.ENSMUSP00000029201	0	0	0	0	0.064	0.084	0	0.475	0.511
Abl1	Epha8	10090.ENSMUSP00000075167	10090.ENSMUSP00000030420	0	0	0	0.604	0.071	0	0.900	0.153	0.914
Abl1	Cdk5	10090.ENSMUSP00000075167	10090.ENSMUSP00000030814	0	0	0	0.654	0.043	0.053	0.800	0.476	0.892
Abl1	Ephb1	10090.ENSMUSP00000075167	10090.ENSMUSP00000035129	0	0	0	0.626	0.071	0.051	0.900	0.097	0.909
Abl1	Nckap1l	10090.ENSMUSP00000075167	10090.ENSMUSP00000035400	0	0	0	0	0	0.287	0.400	0.181	0.619
Abl1	Ntrk3	10090.ENSMUSP00000075167	10090.ENSMUSP00000037909	0	0	0	0.638	0	0.111	0.900	0.134	0.916
Abl1	Irs2	10090.ENSMUSP00000075167	10090.ENSMUSP00000038514	0	0	0	0	0	0.098	0	0.436	0.470
Abl1	Brk1	10090.ENSMUSP00000075167	10090.ENSMUSP00000041644	0	0	0	0	0	0	0.400	0.170	0.480
Abl1	Ctnna1	10090.ENSMUSP00000075167	10090.ENSMUSP00000049007	0	0	0	0	0.049	0.051	0.500	0.081	0.529
Abl1	Snai1	10090.ENSMUSP00000075167	10090.ENSMUSP00000050581	0	0	0	0	0.091	0.064	0	0.361	0.409
Abl1	Eps8	10090.ENSMUSP00000075167	10090.ENSMUSP00000052776	0	0	0	0	0.043	0.066	0	0.415	0.431
Abl1	Fn1	10090.ENSMUSP00000075167	10090.ENSMUSP00000054499	0	0	0	0	0.057	0.491	0	0.416	0.695
Abl1	Cdc42	10090.ENSMUSP00000075167	10090.ENSMUSP00000054634	0	0	0	0	0.072	0.105	0.500	0.467	0.749
Abl1	Ephb2	10090.ENSMUSP00000075167	10090.ENSMUSP00000058135	0	0	0	0.621	0.079	0.051	0.900	0.436	0.944
Abl1	Ptpn11	10090.ENSMUSP00000075167	10090.ENSMUSP00000058757	0	0	0	0.556	0.083	0.334	0	0.544	0.697
Abl1	Irs1	10090.ENSMUSP00000075167	10090.ENSMUSP00000063795	0	0	0	0	0.047	0.098	0	0.478	0.512
Abl1	Epha3	10090.ENSMUSP00000075167	10090.ENSMUSP00000066554	0	0	0	0.617	0.071	0	0.900	0.426	0.942
Abl1	Nf1	10090.ENSMUSP00000075167	10090.ENSMUSP00000071289	0	0	0	0	0.061	0.096	0	0.401	0.447
Abl1	Cfl1	10090.ENSMUSP00000075167	10090.ENSMUSP00000147514	0	0	0	0	0.050	0.104	0	0.368	0.415
Abl1	Ptprc	10090.ENSMUSP00000075167	10090.ENSMUSP00000138350	0	0	0	0	0.066	0.099	0	0.374	0.427
Abl1	Wt1	10090.ENSMUSP00000075167	10090.ENSMUSP00000117891	0	0	0	0	0	0.067	0	0.423	0.438
Abl1	Prkcd	10090.ENSMUSP00000075167	10090.ENSMUSP00000107830	0	0	0	0.569	0.071	0.090	0	0.399	0.448
Abl1	Palld	10090.ENSMUSP00000075167	10090.ENSMUSP00000112442	0	0	0	0	0.054	0.058	0	0.460	0.477
Abl1	Actb	10090.ENSMUSP00000075167	10090.ENSMUSP00000098066	0	0	0	0	0.073	0.073	0	0.443	0.480
Abl1	Syk	10090.ENSMUSP00000075167	10090.ENSMUSP00000113852	0	0	0	0.731	0	0.072	0	0.476	0.493
Abl1	Ctnna2	10090.ENSMUSP00000075167	10090.ENSMUSP00000124376	0	0	0	0	0	0.051	0.500	0	0.505
Abl1	Bcl2	10090.ENSMUSP00000075167	10090.ENSMUSP00000108371	0	0	0	0	0.053	0.053	0	0.494	0.506
Abl1	Itgb1	10090.ENSMUSP00000075167	10090.ENSMUSP00000087457	0	0	0	0	0.061	0.300	0	0.342	0.530
Abl1	Grb10	10090.ENSMUSP00000075167	10090.ENSMUSP00000091011	0	0	0	0	0	0.095	0	0.504	0.532
Abl1	Ptk2	10090.ENSMUSP00000075167	10090.ENSMUSP00000105663	0	0	0	0.614	0.084	0.096	0	0.486	0.537
Abl1	Cttn	10090.ENSMUSP00000075167	10090.ENSMUSP00000099368	0	0	0	0	0.085	0.095	0	0.488	0.540
Abl1	Arhgap35	10090.ENSMUSP00000075167	10090.ENSMUSP00000075242	0	0	0	0	0.066	0.060	0	0.546	0.566
Abl1	Mef2c	10090.ENSMUSP00000075167	10090.ENSMUSP00000143401	0	0	0	0	0	0	0.500	0.170	0.567
Abl1	Pxn	10090.ENSMUSP00000075167	10090.ENSMUSP00000083709	0	0	0	0	0.094	0.300	0	0.415	0.597
Abl1	Enah	10090.ENSMUSP00000075167	10090.ENSMUSP00000077781	0	0	0	0	0.057	0.539	0	0.151	0.599
Abl1	Dab1	10090.ENSMUSP00000075167	10090.ENSMUSP00000102443	0	0	0	0	0.069	0.112	0	0.615	0.653
Abl1	Wasf2	10090.ENSMUSP00000075167	10090.ENSMUSP00000081263	0	0	0	0	0.071	0.117	0.400	0.410	0.670
Abl1	Nck1	10090.ENSMUSP00000075167	10090.ENSMUSP00000112221	0	0	0	0.606	0	0.601	0	0.216	0.674
Abl1	Rac1	10090.ENSMUSP00000075167	10090.ENSMUSP00000098058	0	0	0	0	0.084	0.105	0.400	0.434	0.684
Abl1	Slit2	10090.ENSMUSP00000075167	10090.ENSMUSP00000134263	0	0	0	0	0	0.190	0.500	0.354	0.715
Abl1	Hsp90aa1	10090.ENSMUSP00000075167	10090.ENSMUSP00000091921	0	0	0	0	0.074	0.238	0	0.652	0.733
Abl1	Nckap1	10090.ENSMUSP00000075167	10090.ENSMUSP00000107390	0	0	0	0	0	0.287	0.400	0.447	0.742
Abl1	Apbb1	10090.ENSMUSP00000075167	10090.ENSMUSP00000140116	0	0	0	0	0	0.095	0	0.742	0.756
Abl1	Bcar1	10090.ENSMUSP00000075167	10090.ENSMUSP00000129584	0	0	0	0	0.082	0.132	0	0.769	0.800
Abl1	Ntrk2	10090.ENSMUSP00000075167	10090.ENSMUSP00000078757	0	0	0	0.640	0	0.102	0.900	0.144	0.916
Abl1	Stat5b	10090.ENSMUSP00000075167	10090.ENSMUSP00000102981	0	0	0	0	0.054	0.097	0.900	0.247	0.927
Abl1	Ephb4	10090.ENSMUSP00000075167	10090.ENSMUSP00000106684	0	0	0	0.616	0.072	0.055	0.900	0.611	0.961
Abl1	Bcr	10090.ENSMUSP00000075167	10090.ENSMUSP00000126377	0	0	0	0	0.046	0.217	0.900	0.620	0.967
Abl2	Crkl	10090.ENSMUSP00000027888	10090.ENSMUSP00000006293	0	0	0	0.597	0.044	0.405	0	0.346	0.595
Abl2	Crk	10090.ENSMUSP00000027888	10090.ENSMUSP00000017920	0	0	0	0.585	0.080	0.576	0	0.332	0.716
Abl2	Egfr	10090.ENSMUSP00000027888	10090.ENSMUSP00000020329	0	0	0.121	0.591	0	0.281	0	0.393	0.583
Abl2	Robo1	10090.ENSMUSP00000027888	10090.ENSMUSP00000023600	0	0	0	0	0.079	0.175	0.500	0.182	0.647
Abl2	Nckap1	10090.ENSMUSP00000027888	10090.ENSMUSP00000107390	0	0	0	0	0.046	0.287	0	0.192	0.402
Abl2	Socs7	10090.ENSMUSP00000027888	10090.ENSMUSP00000040896	0	0	0	0	0.312	0.073	0	0.139	0.403
Abl2	Bcr	10090.ENSMUSP00000027888	10090.ENSMUSP00000126377	0	0	0	0	0.065	0.217	0	0.328	0.465
Abl2	Enah	10090.ENSMUSP00000027888	10090.ENSMUSP00000077781	0	0	0	0	0.052	0.376	0	0.173	0.468
Abl2	Arhgap35	10090.ENSMUSP00000027888	10090.ENSMUSP00000075242	0	0	0	0	0.066	0.060	0	0.453	0.477
Abl2	Mmp14	10090.ENSMUSP00000027888	10090.ENSMUSP00000087119	0	0	0	0	0.051	0.113	0	0.437	0.484
Abl2	Ephb2	10090.ENSMUSP00000027888	10090.ENSMUSP00000058135	0	0	0	0.612	0.071	0.238	0	0.402	0.539
Abl2	Fn1	10090.ENSMUSP00000027888	10090.ENSMUSP00000054499	0	0	0	0	0.050	0.491	0	0.177	0.567
Abl2	Slit2	10090.ENSMUSP00000027888	10090.ENSMUSP00000134263	0	0	0	0	0	0.190	0.500	0.147	0.624
Abl2	Rac1	10090.ENSMUSP00000027888	10090.ENSMUSP00000098058	0	0	0	0	0.080	0.105	0.500	0.212	0.632
Abl2	Itgb1	10090.ENSMUSP00000027888	10090.ENSMUSP00000087457	0	0	0	0	0.053	0.052	0	0.643	0.651
Abl2	Cttn	10090.ENSMUSP00000027888	10090.ENSMUSP00000099368	0	0	0	0	0.082	0.095	0	0.656	0.689
Abr	Rhoc	10090.ENSMUSP00000091551	10090.ENSMUSP00000002303	0	0	0	0	0.046	0.155	0.400	0.144	0.530
Abr	Tiam1	10090.ENSMUSP00000091551	10090.ENSMUSP00000002588	0	0	0	0.549	0.065	0.054	0	0.422	0.444
Abr	Rhoa	10090.ENSMUSP00000091551	10090.ENSMUSP00000007959	0	0	0	0	0.043	0.155	0.400	0.383	0.661
Abr	Cdc42	10090.ENSMUSP00000091551	10090.ENSMUSP00000054634	0	0	0	0	0.063	0.155	0.400	0.426	0.691
Abr	Rhob	10090.ENSMUSP00000091551	10090.ENSMUSP00000067013	0	0	0	0	0.047	0.155	0.400	0.177	0.549
Abr	Rac1	10090.ENSMUSP00000091551	10090.ENSMUSP00000098058	0	0	0	0	0.061	0.376	0.400	0.134	0.655
Acap3	Scnn1b	10090.ENSMUSP00000101209	10090.ENSMUSP00000033161	0	0	0	0	0.048	0	0	0.546	0.549
Ackr2	Ccl2	10090.ENSMUSP00000148966	10090.ENSMUSP00000000193	0	0	0	0	0	0	0	0.964	0.964
Ackr2	Ccl12	10090.ENSMUSP00000148966	10090.ENSMUSP00000000194	0	0	0	0	0	0.082	0.500	0.420	0.710
Ackr2	Ccl11	10090.ENSMUSP00000148966	10090.ENSMUSP00000000342	0	0	0	0	0.053	0.082	0	0.640	0.660
Ackr2	Ccl3	10090.ENSMUSP00000148966	10090.ENSMUSP00000001008	0	0	0	0	0	0	0.500	0.918	0.957
Ackr2	Itgb7	10090.ENSMUSP00000148966	10090.ENSMUSP00000001327	0	0	0	0	0	0	0	0.518	0.518
Ackr2	Tbx21	10090.ENSMUSP00000148966	10090.ENSMUSP00000001484	0	0	0	0	0.061	0	0	0.550	0.559
Ackr2	Akt1	10090.ENSMUSP00000148966	10090.ENSMUSP00000001780	0	0	0	0	0	0	0	0.543	0.543
Ackr2	Tgfb1	10090.ENSMUSP00000148966	10090.ENSMUSP00000002678	0	0	0	0	0	0	0	0.565	0.565
Ackr2	Ccl24	10090.ENSMUSP00000148966	10090.ENSMUSP00000004936	0	0	0	0	0.046	0	0	0.555	0.557
Ackr2	Cd44	10090.ENSMUSP00000148966	10090.ENSMUSP00000005218	0	0	0	0	0	0	0	0.490	0.489
Ackr2	Kit	10090.ENSMUSP00000148966	10090.ENSMUSP00000005815	0	0	0	0	0.153	0	0	0.393	0.463
Ackr2	Ccl8	10090.ENSMUSP00000148966	10090.ENSMUSP00000009329	0	0	0	0	0.047	0	0	0.542	0.544
Ackr2	Cxcl16	10090.ENSMUSP00000148966	10090.ENSMUSP00000019064	0	0	0	0	0.097	0	0	0.516	0.544
Ackr2	Ccl6	10090.ENSMUSP00000148966	10090.ENSMUSP00000019071	0	0	0	0	0.174	0.072	0	0.329	0.440
Ackr2	Ccl4	10090.ENSMUSP00000148966	10090.ENSMUSP00000019074	0	0	0	0	0	0	0.500	0.797	0.894
Ackr2	Madcam1	10090.ENSMUSP00000148966	10090.ENSMUSP00000020554	0	0	0	0	0.042	0	0	0.991	0.991
Ackr2	Ccl7	10090.ENSMUSP00000148966	10090.ENSMUSP00000021011	0	0	0	0	0	0	0.500	0.334	0.652
Ackr2	Cxcl14	10090.ENSMUSP00000148966	10090.ENSMUSP00000021970	0	0	0	0	0.086	0	0	0.410	0.437
Ackr2	Cxcl13	10090.ENSMUSP00000148966	10090.ENSMUSP00000023840	0	0	0	0	0.073	0	0	0.492	0.508
Ackr2	Ccl25	10090.ENSMUSP00000148966	10090.ENSMUSP00000024004	0	0	0	0	0	0	0	0.997	0.997
Ackr2	Tnf	10090.ENSMUSP00000148966	10090.ENSMUSP00000025263	0	0	0	0	0	0	0	0.603	0.603
Ackr2	Lztfl1	10090.ENSMUSP00000148966	10090.ENSMUSP00000026274	0	0.006	0	0	0	0	0	0.551	0.551
Ackr2	Ccr1	10090.ENSMUSP00000148966	10090.ENSMUSP00000026911	0	0	0	0.837	0	0	0	0.832	0.832
Ackr2	Il17a	10090.ENSMUSP00000148966	10090.ENSMUSP00000027061	0	0	0	0	0	0	0	0.643	0.643
Ackr2	Xcl1	10090.ENSMUSP00000148966	10090.ENSMUSP00000027860	0	0	0	0	0	0.041	0	0.625	0.625
Ackr2	Sell	10090.ENSMUSP00000148966	10090.ENSMUSP00000027871	0	0	0	0	0.068	0	0	0.665	0.675
Ackr2	Sele	10090.ENSMUSP00000148966	10090.ENSMUSP00000027874	0	0	0	0	0.042	0	0	0.484	0.485
Ackr2	Il1b	10090.ENSMUSP00000148966	10090.ENSMUSP00000028881	0	0	0	0	0.047	0	0	0.453	0.456
Ackr2	Vcam1	10090.ENSMUSP00000148966	10090.ENSMUSP00000029574	0	0	0	0	0	0.096	0	0.726	0.741
